wbe;jahr;anzahl_israelitische
091;2006;125
091;2007;126
091;2008;119
091;2009;111
091;2010;107
091;2011;106
091;2012;115
091;2013;107
091;2014;106
091;2015;106
092;2000;9
092;2001;9
092;2002;11
092;2003;11
092;2004;9
092;2005;7
092;2006;7
092;2007;8
092;2008;15
092;2009;13
092;2010;13
092;2011;14
092;2012;20
092;2013;24
092;2014;51
092;2015;49
101;2000;99
101;2001;89
101;2002;84
101;2003;84
101;2004;89
101;2005;85
101;2006;82
101;2007;83
101;2008;96
101;2009;100
101;2010;108
101;2011;99
101;2012;100
101;2013;96
101;2014;100
101;2015;117
102;2000;12
102;2001;22
102;2002;16
102;2003;14
102;2004;15
102;2005;14
102;2006;14
102;2007;13
102;2008;15
102;2009;18
102;2010;20
102;2011;22
102;2012;19
102;2013;16
102;2014;20
102;2015;28
103;2000;12
103;2001;12
103;2002;10
103;2003;11
103;2004;12
103;2005;7
103;2006;8
103;2007;5
103;2008;6
103;2009;5
103;2010;6
103;2011;NaN
103;2012;NaN
103;2013;NaN
103;2014;5
103;2015;NaN
111;2000;8
111;2001;6
111;2002;4
111;2003;5
111;2004;4
111;2005;NaN
111;2006;7
111;2007;7
111;2008;7
111;2009;8
111;2010;9
111;2011;10
111;2012;9
111;2013;4
111;2014;4
111;2015;NaN
112;2000;20
112;2001;7
112;2002;8
112;2003;8
112;2004;7
112;2005;5
112;2006;4
112;2007;4
112;2008;NaN
112;2009;5
112;2010;5
112;2011;5
112;2012;6
112;2013;NaN
112;2014;NaN
112;2015;NaN
113;2000;15
113;2001;22
113;2002;21
113;2003;22
113;2004;18
113;2005;17
113;2006;16
113;2007;15
113;2008;11
113;2009;10
113;2010;14
113;2011;13
113;2012;14
113;2013;13
113;2014;18
113;2015;18
114;2000;NaN
114;2001;NaN
114;2002;NaN
114;2003;NaN
114;2004;NaN
114;2005;NaN
114;2006;NaN
114;2007;NaN
114;2008;NaN
114;2009;NaN
114;2010;NaN
114;2011;NaN
114;2012;NaN
114;2013;NaN
114;2014;NaN
114;2015;NaN
115;2000;13
115;2001;13
115;2002;13
115;2003;12
115;2004;10
115;2005;13
115;2006;12
115;2007;13
115;2008;12
115;2009;18
115;2010;18
115;2011;19
115;2012;20
115;2013;15
115;2014;14
115;2015;13
121;2000;NaN
121;2001;NaN
121;2002;NaN
121;2003;NaN
121;2004;NaN
121;2005;NaN
121;2006;NaN
121;2007;NaN
121;2008;NaN
121;2009;NaN
121;2010;NaN
121;2011;NaN
121;2012;NaN
121;2013;NaN
121;2014;NaN
121;2015;NaN
122;2000;NaN
122;2001;NaN
122;2002;NaN
122;2003;NaN
122;2004;NaN
122;2005;NaN
122;2006;NaN
122;2007;NaN
122;2008;NaN
122;2009;NaN
122;2010;NaN
122;2011;NaN
122;2012;NaN
122;2013;NaN
122;2014;NaN
122;2015;NaN
131;2000;NaN
131;2001;NaN
131;2002;NaN
131;2003;NaN
131;2004;NaN
131;2005;NaN
131;2006;NaN
131;2007;NaN
131;2008;NaN
131;2009;NaN
131;2010;NaN
131;2011;NaN
131;2012;NaN
131;2013;NaN
131;2014;NaN
131;2015;NaN
132;2000;NaN
132;2001;NaN
132;2002;NaN
132;2003;NaN
132;2004;NaN
132;2005;NaN
132;2006;NaN
132;2007;NaN
132;2008;NaN
132;2009;NaN
132;2010;NaN
132;2011;NaN
132;2012;NaN
132;2013;NaN
132;2014;NaN
132;2015;4
141;2000;5
141;2001;NaN
141;2002;NaN
141;2003;NaN
141;2004;4
141;2005;4
141;2006;5
141;2007;NaN
141;2008;NaN
141;2009;NaN
141;2010;NaN
141;2011;NaN
141;2012;NaN
141;2013;NaN
141;2014;NaN
141;2015;5
142;2000;9
142;2001;8
142;2002;8
142;2003;7
142;2004;7
142;2005;7
142;2006;7
142;2007;7
142;2008;7
142;2009;6
142;2010;6
142;2011;5
142;2012;6
142;2013;7
142;2014;7
142;2015;6
151;2000;NaN
151;2001;NaN
151;2002;7
151;2003;7
151;2004;7
151;2005;7
151;2006;7
151;2007;6
151;2008;NaN
151;2009;NaN
151;2010;NaN
151;2011;NaN
151;2012;NaN
151;2013;NaN
151;2014;NaN
151;2015;NaN
152;2000;NaN
152;2001;NaN
152;2002;NaN
152;2003;NaN
152;2004;NaN
152;2005;NaN
152;2006;NaN
152;2007;NaN
152;2008;NaN
152;2009;NaN
152;2010;NaN
152;2011;NaN
152;2012;NaN
152;2013;NaN
152;2014;NaN
152;2015;NaN
153;2000;4
153;2001;4
153;2002;4
153;2003;4
153;2004;4
153;2005;NaN
153;2006;4
153;2007;NaN
153;2008;NaN
153;2009;NaN
153;2010;NaN
153;2011;NaN
153;2012;NaN
153;2013;NaN
153;2014;NaN
153;2015;NaN
161;2000;NaN
161;2001;NaN
161;2002;NaN
161;2003;NaN
161;2004;NaN
161;2005;NaN
161;2006;NaN
161;2007;NaN
161;2008;NaN
161;2009;NaN
161;2010;NaN
161;2011;NaN
161;2012;5
161;2013;9
161;2014;NaN
161;2015;NaN
162;2000;NaN
162;2001;NaN
162;2002;NaN
162;2003;NaN
162;2004;NaN
162;2005;NaN
162;2006;NaN
162;2007;NaN
162;2008;NaN
162;2009;NaN
162;2010;NaN
162;2011;NaN
162;2012;NaN
162;2013;NaN
162;2014;NaN
162;2015;NaN
171;2000;7
171;2001;5
171;2002;6
171;2003;4
171;2004;4
171;2005;4
171;2006;6
171;2007;5
171;2008;NaN
171;2009;NaN
171;2010;4
171;2011;4
171;2012;4
171;2013;NaN
171;2014;NaN
171;2015;4
172;2000;5
172;2001;5
172;2002;8
172;2003;10
172;2004;11
172;2005;8
172;2006;7
172;2007;7
172;2008;9
172;2009;9
172;2010;9
172;2011;9
172;2012;10
172;2013;9
172;2014;11
172;2015;9
173;2000;NaN
173;2001;NaN
173;2002;NaN
173;2003;NaN
173;2004;NaN
173;2005;NaN
173;2006;NaN
173;2007;NaN
173;2008;NaN
173;2009;NaN
173;2010;NaN
173;2011;NaN
173;2012;5
173;2013;6
173;2014;5
173;2015;9
174;2000;6
174;2001;8
174;2002;7
174;2003;6
174;2004;4
174;2005;4
174;2006;4
174;2007;4
174;2008;5
174;2009;5
174;2010;6
174;2011;8
174;2012;4
174;2013;4
174;2014;5
174;2015;5
180;2000;4
180;2001;NaN
180;2002;4
180;2003;NaN
180;2004;NaN
180;2005;NaN
180;2006;NaN
180;2007;NaN
180;2008;NaN
180;2009;NaN
180;2010;NaN
180;2011;NaN
180;2012;NaN
180;2013;NaN
180;2014;NaN
180;2015;5
190;2000;NaN
190;2001;NaN
190;2002;NaN
190;2003;NaN
190;2004;NaN
190;2005;NaN
190;2006;NaN
190;2007;NaN
190;2008;NaN
190;2009;NaN
190;2010;NaN
190;2011;NaN
190;2012;NaN
190;2013;NaN
190;2014;NaN
190;2015;NaN
201;2000;5
201;2001;6
201;2002;7
201;2003;7
201;2004;8
201;2005;7
201;2006;6
201;2007;5
201;2008;5
201;2009;6
201;2010;6
201;2011;4
201;2012;4
201;2013;4
201;2014;NaN
201;2015;NaN
202;2000;NaN
202;2001;NaN
202;2002;NaN
202;2003;NaN
202;2004;NaN
202;2005;NaN
202;2006;NaN
202;2007;NaN
202;2008;NaN
202;2009;NaN
202;2010;NaN
202;2011;NaN
202;2012;NaN
202;2013;NaN
202;2014;NaN
202;2015;NaN
203;2000;36
203;2001;26
203;2002;NaN
203;2003;NaN
203;2004;NaN
203;2005;NaN
203;2006;NaN
203;2007;NaN
203;2008;NaN
203;2009;NaN
203;2010;NaN
203;2011;NaN
203;2012;NaN
203;2013;NaN
203;2014;NaN
203;2015;NaN
204;2000;NaN
204;2001;NaN
204;2002;5
204;2003;4
204;2004;5
204;2005;NaN
204;2006;NaN
204;2007;NaN
204;2008;NaN
204;2009;NaN
204;2010;NaN
204;2011;NaN
204;2012;NaN
204;2013;NaN
204;2014;NaN
204;2015;NaN
205;2000;9
205;2001;6
205;2002;5
205;2003;5
205;2004;6
205;2005;6
205;2006;6
205;2007;5
205;2008;5
205;2009;5
205;2010;4
205;2011;4
205;2012;4
205;2013;6
205;2014;5
205;2015;NaN
206;2000;6
206;2001;6
206;2002;6
206;2003;6
206;2004;6
206;2005;5
206;2006;5
206;2007;5
206;2008;5
206;2009;5
206;2010;5
206;2011;4
206;2012;4
206;2013;4
206;2014;4
206;2015;NaN
207;2000;6
207;2001;NaN
207;2002;NaN
207;2003;NaN
207;2004;NaN
207;2005;NaN
207;2006;NaN
207;2007;NaN
207;2008;NaN
207;2009;NaN
207;2010;NaN
207;2011;NaN
207;2012;NaN
207;2013;NaN
207;2014;NaN
207;2015;NaN
208;2000;14
208;2001;11
208;2002;12
208;2003;11
208;2004;10
208;2005;13
208;2006;12
208;2007;9
208;2008;9
208;2009;9
208;2010;9
208;2011;9
208;2012;7
208;2013;10
208;2014;9
208;2015;9
301;2000;4
301;2001;5
301;2002;5
301;2003;5
301;2004;NaN
301;2005;NaN
301;2006;NaN
301;2007;NaN
301;2008;NaN
301;2009;NaN
301;2010;NaN
301;2011;NaN
301;2012;NaN
301;2013;NaN
301;2014;NaN
301;2015;NaN
302;2000;NaN
302;2001;NaN
302;2002;NaN
302;2003;NaN
302;2004;NaN
302;2005;NaN
302;2006;NaN
302;2007;NaN
302;2008;NaN
302;2009;NaN
302;2010;NaN
302;2011;NaN
302;2012;NaN
302;2013;NaN
302;2014;NaN
302;2015;NaN
