wbe;jahr;anzahl_v
141;2001;967
141;2002;981
141;2003;1015
141;2004;1049
141;2005;1022
141;2006;970
141;2007;945
141;2008;944
141;2009;934
141;2010;940
141;2011;969
141;2012;983
141;2013;954
141;2014;1042
141;2015;1044
142;2000;1163
142;2001;1108
142;2002;1108
142;2003;1073
142;2004;1075
142;2005;1046
142;2006;968
142;2007;943
142;2008;913
142;2009;913
142;2010;892
142;2011;867
142;2012;868
142;2013;853
142;2014;861
142;2015;859
151;2000;1260
151;2001;1221
151;2002;1217
151;2003;1223
151;2004;1217
151;2005;1212
151;2006;1210
151;2007;1163
151;2008;1116
151;2009;1106
151;2010;1046
151;2011;1092
151;2012;1097
151;2013;1137
151;2014;1208
151;2015;1207
152;2000;1224
152;2001;1215
152;2002;1167
152;2003;1149
152;2004;1159
152;2005;1151
152;2006;1126
152;2007;1128
152;2008;1125
152;2009;1116
152;2010;1108
152;2011;1103
152;2012;1101
152;2013;1075
152;2014;1082
152;2015;1064
153;2000;1947
153;2001;1953
153;2002;1921
153;2003;1857
153;2004;1789
153;2005;1724
153;2006;1632
153;2007;1592
153;2008;1585
153;2009;1592
153;2010;1552
153;2011;1535
153;2012;1492
153;2013;1473
153;2014;1489
153;2015;1475
161;2000;1823
161;2001;1792
161;2002;1896
161;2003;1867
161;2004;1877
161;2005;1875
161;2006;1862
161;2007;1871
161;2008;1921
161;2009;1855
161;2010;1796
161;2011;1773
161;2012;1783
161;2013;1805
161;2014;1719
161;2015;1661
162;2000;36
162;2001;47
162;2002;48
162;2003;50
162;2004;54
162;2005;66
162;2006;61
162;2007;60
162;2008;66
162;2009;138
162;2010;201
162;2011;234
162;2012;258
162;2013;256
162;2014;241
162;2015;538
171;2000;542
171;2001;541
171;2002;518
171;2003;518
171;2004;510
171;2005;521
171;2006;513
171;2007;493
171;2008;530
171;2009;503
171;2010;525
171;2011;506
171;2012;517
171;2013;505
171;2014;496
171;2015;475
172;2000;1491
172;2001;1387
172;2002;1367
172;2003;1366
172;2004;1346
172;2005;1289
172;2006;1257
172;2007;1236
172;2008;1265
172;2009;1245
172;2010;1246
172;2011;1241
172;2012;1242
172;2013;1277
172;2014;1248
172;2015;1230
173;2000;1200
173;2001;1194
173;2002;1221
173;2003;1205
173;2004;1190
173;2005;1162
173;2006;1172
173;2007;1181
173;2008;1191
173;2009;1160
173;2010;1126
173;2011;1108
173;2012;1071
