wbe;jahr;ant_verheiratet
085;2005;44.6
085;2006;44.0
085;2007;43.3
085;2008;43.3
085;2009;42.0
085;2010;41.9
085;2011;41.9
085;2012;41.6
085;2013;41.7
085;2014;41.7
085;2015;41.3
091;2000;36.8
091;2001;36.0
091;2002;34.8
091;2003;35.1
091;2004;34.2
091;2005;33.6
091;2006;34.0
091;2007;33.4
091;2008;33.0
091;2009;32.3
091;2010;32.7
091;2011;32.1
091;2012;32.3
091;2013;31.8
091;2014;32.0
091;2015;31.6
092;2000;47.0
092;2001;46.8
092;2002;46.6
092;2003;46.2
092;2004;45.5
092;2005;44.3
092;2006;43.0
092;2007;43.1
092;2008;42.3
092;2009;42.4
092;2010;40.9
092;2011;40.5
092;2012;40.7
092;2013;40.3
092;2014;40.0
092;2015;40.5
101;2000;39.1
101;2001;38.9
101;2002;38.6
101;2003;38.0
101;2004;37.6
101;2005;37.0
101;2006;35.9
101;2007;35.7
101;2008;34.8
101;2009;34.5
101;2010;33.5
101;2011;33.1
101;2012;32.7
101;2013;32.6
101;2014;32.1
101;2015;32.0
102;2000;39.3
102;2001;38.6
102;2002;39.0
102;2003;38.6
102;2004;38.7
102;2005;39.3
102;2006;38.6
102;2007;37.9
102;2008;36.6
102;2009;36.0
102;2010;34.6
102;2011;33.4
102;2012;33.1
102;2013;33.1
102;2014;33.2
102;2015;31.7
103;2000;46.2
103;2001;45.4
103;2002;45.0
103;2003;45.0
103;2004;45.1
103;2005;45.0
103;2006;44.8
103;2007;43.6
103;2008;43.2
103;2009;42.3
103;2010;41.7
103;2011;42.2
103;2012;41.3
103;2013;40.3
103;2014;39.3
103;2015;38.7
111;2000;35.5
111;2001;35.0
111;2002;34.7
111;2003;33.9
111;2004;33.5
111;2005;33.7
111;2006;32.2
111;2007;31.9
111;2008;31.3
111;2009;31.2
111;2010;30.6
111;2011;30.3
111;2012;29.7
111;2013;28.9
111;2014;29.4
111;2015;30.1
112;2000;40.0
112;2001;39.7
112;2002;38.8
112;2003;39.0
112;2004;37.9
112;2005;36.9
112;2006;37.5
112;2007;35.5
112;2008;34.3
112;2009;33.5
112;2010;32.7
112;2011;33.1
112;2012;33.7
112;2013;33.9
112;2014;33.5
112;2015;32.9
113;2000;40.9
113;2001;40.0
113;2002;39.6
113;2003;40.4
113;2004;39.7
113;2005;39.3
113;2006;38.4
113;2007;38.2
113;2008;37.7
113;2009;36.8
113;2010;35.8
113;2011;35.7
113;2012;35.0
113;2013;34.9
113;2014;34.0
113;2015;33.5
114;2000;42.9
114;2001;42.1
114;2002;40.8
114;2003;40.0
114;2004;40.2
114;2005;39.7
114;2006;39.8
114;2007;38.7
114;2008;37.5
114;2009;36.9
114;2010;37.0
114;2011;37.2
114;2012;37.1
114;2013;37.1
114;2014;36.7
114;2015;37.4
115;2000;45.2
115;2001;44.9
115;2002;45.7
115;2003;45.6
115;2004;45.0
115;2005;44.6
115;2006;45.0
115;2007;45.6
115;2008;44.5
115;2009;44.2
115;2010;44.1
115;2011;43.0
115;2012;42.3
115;2013;42.4
115;2014;41.6
115;2015;41.5
121;2000;32.2
121;2001;31.0
121;2002;31.7
121;2003;31.1
121;2004;32.4
121;2005;31.7
121;2006;31.0
121;2007;29.6
121;2008;28.1
121;2009;27.1
121;2010;27.2
121;2011;25.6
121;2012;26.1
121;2013;26.2
121;2014;26.4
121;2015;26.6
122;2000;39.9
122;2001;38.5
122;2002;36.7
122;2003;37.7
122;2004;36.0
122;2005;33.3
122;2006;33.2
122;2007;33.0
122;2008;30.9
122;2009;31.1
122;2010;31.8
122;2011;31.6
122;2012;32.4
122;2013;31.7
122;2014;29.5
122;2015;26.6
131;2000;41.4
131;2001;42.2
131;2002;41.3
131;2003;41.7
131;2004;40.7
131;2005;40.7
131;2006;41.0
131;2007;37.8
131;2008;36.4
131;2009;36.7
131;2010;36.4
131;2011;35.3
131;2012;37.3
131;2013;37.4
131;2014;36.5
131;2015;33.7
132;2000;40.1
132;2001;39.9
132;2002;39.1
132;2003;40.0
132;2004;39.0
132;2005;38.1
132;2006;38.2
132;2007;37.8
132;2008;36.7
132;2009;36.7
132;2010;37.2
132;2011;36.7
132;2012;36.6
132;2013;36.8
132;2014;35.8
132;2015;35.7
141;2000;34.9
141;2001;35.0
141;2002;34.6
141;2003;34.5
141;2004;35.0
141;2005;34.2
141;2006;32.3
141;2007;31.4
141;2008;31.2
141;2009;30.7
141;2010;31.0
141;2011;32.0
141;2012;32.3
141;2013;31.7
141;2014;32.5
141;2015;32.3
142;2000;46.9
142;2001;45.4
142;2002;44.8
142;2003;44.0
142;2004;43.9
142;2005;42.4
142;2006;40.4
142;2007;39.9
142;2008;38.5
142;2009;37.7
142;2010;37.9
142;2011;37.1
142;2012;37.4
142;2013;36.3
142;2014;36.2
142;2015;36.2
151;2000;46.7
151;2001;46.3
151;2002;45.6
151;2003;45.8
151;2004;46.2
151;2005;45.4
151;2006;45.1
151;2007;44.2
151;2008;43.4
151;2009;42.2
151;2010;40.9
151;2011;40.8
151;2012;41.1
151;2013;41.2
151;2014;42.0
151;2015;41.0
152;2000;46.0
152;2001;46.3
152;2002;44.8
152;2003;45.0
152;2004;44.9
152;2005;44.7
152;2006;44.2
152;2007;44.2
152;2008;44.2
152;2009;44.1
152;2010;43.7
152;2011;42.7
152;2012;42.9
152;2013;42.2
152;2014;42.2
152;2015;42.1
153;2000;51.5
153;2001;51.2
153;2002;51.1
153;2003;50.3
153;2004;49.7
153;2005;49.6
153;2006;49.1
153;2007;49.0
153;2008;47.1
153;2009;46.3
153;2010;45.0
153;2011;44.5
153;2012;43.7
153;2013;43.1
153;2014;42.7
153;2015;41.7
161;2000;43.6
161;2001;42.5
161;2002;43.4
161;2003;42.5
161;2004;42.1
161;2005;42.0
161;2006;40.7
161;2007;40.5
161;2008;40.8
161;2009;39.6
161;2010;38.9
161;2011;39.0
161;2012;38.4
161;2013;38.0
161;2014;36.4
161;2015;35.3
162;2000;37.1
162;2001;36.4
162;2002;35.3
162;2003;33.8
162;2004;40.3
162;2005;45.5
162;2006;41.2
162;2007;38.7
162;2008;38.8
162;2009;34.8
162;2010;38.2
162;2011;38.6
162;2012;41.3
162;2013;41.0
162;2014;39.6
162;2015;36.8
171;2000;38.9
171;2001;39.3
171;2002;38.0
171;2003;37.5
171;2004;36.5
171;2005;37.0
171;2006;35.9
171;2007;35.6
171;2008;36.5
171;2009;35.0
171;2010;37.1
171;2011;36.0
171;2012;35.2
171;2013;34.6
171;2014;33.3
171;2015;32.0
172;2000;40.4
172;2001;39.7
172;2002;39.1
172;2003;38.7
172;2004;37.3
172;2005;36.5
172;2006;36.5
172;2007;35.6
172;2008;35.4
172;2009;35.1
172;2010;35.2
172;2011;34.5
172;2012;34.2
172;2013;34.4
172;2014;33.8
172;2015;33.1
173;2000;40.4
173;2001;40.5
173;2002;39.5
173;2003;38.8
173;2004;38.2
173;2005;37.6
173;2006;37.7
173;2007;37.3
173;2008;37.2
173;2009;36.7
173;2010;36.3
173;2011;35.3
173;2012;34.6
173;2013;34.0
173;2014;33.3
173;2015;32.1
174;2000;41.4
174;2001;41.2
174;2002;41.1
174;2003;41.0
174;2004;40.6
174;2005;39.9
174;2006;38.8
174;2007;38.1
174;2008;37.5
174;2009;37.4
174;2010;37.2
174;2011;36.5
174;2012;35.6
174;2013;35.2
174;2014;34.6
174;2015;34.3
180;2000;44.7
180;2001;44.4
180;2002;44.1
180;2003;43.9
180;2004;44.1
180;2005;44.1
180;2006;43.6
180;2007;42.5
180;2008;41.8
180;2009;40.9
180;2010;39.9
180;2011;39.4
180;2012;39.4
180;2013;38.5
180;2014;38.5
180;2015;37.7
190;2003;44.9
190;2004;43.8
190;2000;46.1
190;2001;47.1
190;2002;46.2
190;2005;43.9
190;2006;42.7
190;2007;41.9
190;2008;42.5
190;2009;41.9
190;2010;42.8
190;2011;43.6
190;2012;43.1
190;2013;42.2
