wbe;jahr;anteil_weiblich
101;2012;52.5
101;2013;52.1
101;2014;52.4
101;2015;52.0
102;2000;57.2
102;2001;57.9
102;2002;57.4
102;2003;57.1
102;2004;56.8
102;2005;56.3
102;2006;55.3
102;2007;55.1
102;2008;55.4
102;2009;54.9
102;2010;55.3
102;2011;54.9
102;2012;54.1
102;2013;54.2
102;2014;53.7
102;2015;54.1
103;2000;55.4
103;2001;54.8
103;2002;54.8
103;2003;54.5
103;2004;54.9
103;2005;54.7
103;2006;54.2
103;2007;54.4
103;2008;53.7
103;2009;53.3
103;2010;52.7
103;2011;52.5
103;2012;52.7
103;2013;52.5
103;2014;52.8
103;2015;52.4
111;2000;52.8
111;2001;53.0
111;2002;53.2
111;2003;53.9
111;2004;53.3
111;2005;53.1
111;2006;53.2
111;2007;53.4
111;2008;52.6
111;2009;52.7
111;2010;53.1
111;2011;52.9
111;2012;53.3
111;2013;53.2
111;2014;53.3
111;2015;53.7
112;2000;54.0
112;2001;54.4
112;2002;54.8
112;2003;55.4
112;2004;54.8
112;2005;55.1
112;2006;54.4
112;2007;54.2
112;2008;54.3
112;2009;54.9
112;2010;54.7
112;2011;54.3
112;2012;54.4
112;2013;54.6
112;2014;54.2
112;2015;54.8
113;2000;49.8
113;2001;49.3
113;2002;49.0
113;2003;48.5
113;2004;48.5
113;2005;48.5
113;2006;48.4
113;2007;48.6
113;2008;48.7
113;2009;49.3
113;2010;49.1
113;2011;48.6
113;2012;48.7
113;2013;49.2
113;2014;49.7
113;2015;49.6
114;2000;47.2
114;2001;46.8
114;2002;45.7
114;2003;46.5
114;2004;46.6
114;2005;45.3
114;2006;45.2
114;2007;45.3
114;2008;46.0
114;2009;46.5
114;2010;46.9
114;2011;47.3
114;2012;46.6
114;2013;45.8
114;2014;45.5
114;2015;45.9
115;2000;53.9
115;2001;54.1
115;2002;53.9
115;2003;54.1
115;2004;53.9
115;2005;54.3
115;2006;54.1
115;2007;54.0
115;2008;54.0
115;2009;53.7
115;2010;53.9
115;2011;53.7
115;2012;53.7
115;2013;53.2
115;2014;53.4
115;2015;53.2
121;2000;47.7
121;2001;47.7
121;2002;46.3
121;2003;46.3
121;2004;46.3
121;2005;45.6
121;2006;45.9
121;2007;46.7
121;2008;47.2
121;2009;47.2
121;2010;46.7
121;2011;46.5
121;2012;46.9
121;2013;46.8
121;2014;46.4
121;2015;47.0
122;2000;48.6
122;2001;49.0
122;2002;50.2
122;2003;51.6
122;2004;50.4
122;2005;49.7
122;2006;49.9
122;2007;51.2
122;2008;50.7
122;2009;51.5
122;2010;50.8
122;2011;50.6
122;2012;50.1
122;2013;51.1
122;2014;51.1
122;2015;51.8
131;2000;49.7
131;2001;49.2
131;2002;49.2
131;2003;48.6
131;2004;48.4
131;2005;48.1
131;2006;48.6
131;2007;48.4
131;2008;48.8
131;2009;49.6
131;2010;48.6
131;2011;48.1
131;2012;47.3
131;2013;46.8
131;2014;47.9
131;2015;47.1
132;2000;52.1
132;2001;50.9
132;2002;50.1
132;2003;50.5
132;2004;50.8
132;2005;50.6
132;2006;50.4
132;2007;50.4
132;2008;50.3
132;2009;49.8
132;2010;49.6
132;2011;50.4
132;2012;50.2
132;2013;50.5
132;2014;50.3
132;2015;50.1
141;2000;52.3
141;2001;53.0
141;2002;53.0
141;2003;52.7
141;2004;52.4
141;2005;52.1
141;2006;51.7
141;2007;52.0
141;2008;51.7
141;2009;52.4
141;2010;52.7
141;2011;52.4
141;2012;52.0
141;2013;52.8
141;2014;52.6
141;2015;52.4
142;2000;55.6
142;2001;55.4
142;2002;54.9
142;2003;54.8
142;2004;55.1
142;2005;54.9
142;2006;55.1
142;2007;54.9
142;2008;54.6
142;2009;54.6
142;2010;54.3
142;2011;54.1
142;2012;54.0
142;2013;53.9
142;2014;53.9
142;2015;54.0
151;2000;53.7
151;2001;53.8
151;2002;52.8
151;2003;52.7
151;2004;52.6
151;2005;53.0
151;2006;52.6
151;2007;52.5
151;2008;53.0
151;2009;53.1
151;2010;53.0
151;2011;53.3
151;2012;52.6
151;2013;52.3
151;2014;52.1
151;2015;52.4
152;2000;56.0
152;2001;56.5
152;2002;55.8
152;2003;55.6
152;2004;55.3
152;2005;55.2
152;2006;55.3
152;2007;54.8
152;2008;54.8
152;2009;54.8
152;2010;54.6
152;2011;54.6
152;2012;54.4
152;2013;54.8
152;2014;54.4
152;2015;54.1
153;2000;55.3
153;2001;55.4
153;2002;55.1
153;2003;55.0
153;2004;55.1
153;2005;55.0
153;2006;54.6
153;2007;54.3
153;2008;54.0
153;2009;53.9
153;2010;54.0
153;2011;53.8
153;2012;53.9
153;2013;53.6
153;2014;53.5
153;2015;53.6
161;2000;49.0
161;2001;49.0
161;2002;48.8
161;2003;48.7
161;2004;48.2
161;2005;48.0
161;2006;47.8
161;2007;48.3
161;2008;48.0
161;2009;47.7
161;2010;47.8
161;2011;47.5
161;2012;48.3
161;2013;48.3
161;2014;47.5
161;2015;47.3
162;2000;42.3
162;2001;45.0
162;2002;43.4
162;2003;45.9
162;2004;44.8
162;2005;48.3
162;2006;48.0
162;2007;49.0
162;2008;45.9
162;2009;47.9
162;2010;49.4
162;2011;47.5
162;2012;46.9
162;2013;45.4
162;2014;44.7
162;2015;48.1
171;2000;49.2
171;2001;49.3
171;2002;49.3
171;2003;49.0
171;2004;48.6
171;2005;49.1
171;2006;48.6
171;2007;48.2
171;2008;48.4
171;2009;48.7
171;2010;48.8
171;2011;47.6
171;2012;47.5
171;2013;47.7
171;2014;47.7
171;2015;48.7
172;2000;50.6
172;2001;51.3
172;2002;51.4
172;2003;50.7
172;2004;50.8
172;2005;51.0
172;2006;51.3
172;2007;51.2
172;2008;51.1
172;2009;50.4
172;2010;50.7
172;2011;50.3
172;2012;50.2
172;2013;50.0
172;2014;50.1
172;2015;49.9
173;2000;45.8
173;2001;45.7
173;2002;45.3
173;2003;46.5
173;2004;46.3
173;2005;46.3
173;2006;45.6
173;2007;46.4
173;2008;46.6
173;2009;46.4
173;2010;47.0
173;2011;47.5
173;2012;48.5
173;2013;48.2
173;2014;47.4
173;2015;47.4
174;2000;48.9
174;2001;48.8
174;2002;48.4
174;2003;48.3
174;2004;48.3
174;2005;48.1
174;2006;48.6
174;2007;48.3
174;2008;48.0
174;2009;47.2
174;2010;47.6
174;2011;48.0
174;2012;48.2
174;2013;47.5
174;2014;47.4
174;2015;47.5
180;2000;49.0
180;2001;49.0
180;2002;49.2
180;2003;49.1
180;2004;49.3
180;2005;48.8
180;2006;49.1
180;2007;48.7
180;2008;49.2
180;2009;48.9
180;2010;48.8
180;2011;48.7
180;2012;49.0
180;2013;49.2
180;2014;48.9
180;2015;48.8
190;2000;51.7
190;2001;51.4
190;2002;50.9
190;2003;50.9
190;2004;51.2
190;2005;50.3
190;2006;50.0
190;2007;50.1
190;2008;49.9
190;2009;49.5
190;2010;49.7
190;2011;49.4
190;2012;49.0
190;2013;49.2
190;2014;49.7
190;2015;49.4
201;2000;57.0
201;2001;57.0
201;2002;56.9
201;2003;56.5
201;2004;56.8
201;2005;56.7
201;2006;56.7
201;2007;56.3
201;2008;56.1
201;2009;56.2
201;2010;55.5
201;2011;55.4
201;2012;55.7
201;2013;55.5
201;2014;56.0
201;2015;55.9
202;2000;51.1
202;2001;51.0
202;2002;51.0
202;2003;51.1
202;2004;51.3
202;2005;51.8
202;2006;51.2
202;2007;50.6
202;2008;51.1
202;2009;51.1
202;2010;51.5
202;2011;52.5
202;2012;51.8
202;2013;51.7
202;2014;51.6
202;2015;52.0
203;2000;56.0
203;2001;55.6
203;2002;54.5
203;2003;53.8
203;2004;54.1
203;2005;54.5
203;2006;54.0
203;2007;54.2
203;2008;53.9
203;2009;54.2
203;2010;53.5
203;2011;54.3
203;2012;53.6
203;2013;53.6
203;2014;53.6
203;2015;53.4
204;2000;53.9
204;2001;53.5
204;2002;53.3
204;2003;52.7
204;2004;53.4
204;2005;53.6
204;2006;54.3
204;2007;54.6
204;2008;54.3
204;2009;54.3
204;2010;54.4
204;2011;53.5
204;2012;53.9
204;2013;53.6
204;2014;54.9
204;2015;55.1
205;2000;51.9
205;2001;51.7
205;2002;51.6
205;2003;51.5
