wbe;jahr;anteil_unter20
073;2012;23.3
073;2013;22.6
073;2014;21.9
073;2015;21.4
081;2000;12.1
081;2001;12.2
081;2002;11.9
081;2003;12.5
081;2004;11.6
081;2005;11.6
081;2006;12.2
081;2007;12.3
081;2008;13.0
081;2009;13.3
081;2010;14.3
081;2011;14.0
081;2012;13.7
081;2013;14.9
081;2014;14.8
081;2015;14.5
082;2000;18.2
082;2001;19.0
082;2002;18.4
082;2003;17.9
082;2004;17.1
082;2005;17.6
082;2006;18.0
082;2007;18.3
082;2008;18.6
082;2009;18.9
082;2010;18.8
082;2011;18.6
082;2012;19.7
082;2013;19.7
082;2014;19.2
082;2015;18.7
083;2000;15.0
083;2001;15.0
083;2002;15.0
083;2003;14.9
083;2004;15.0
083;2005;15.3
083;2006;15.8
083;2007;15.0
083;2008;14.3
083;2009;15.0
083;2010;14.8
083;2011;15.1
083;2012;14.7
083;2013;15.3
083;2014;15.3
083;2015;15.5
084;2000;17.4
084;2001;17.6
084;2002;17.5
084;2003;17.5
084;2004;17.6
084;2005;17.2
084;2006;17.0
084;2007;17.4
084;2008;16.7
084;2009;17.3
084;2010;17.1
084;2011;17.4
084;2012;17.4
084;2013;19.1
084;2014;18.5
084;2015;18.0
085;2000;20.3
085;2001;20.2
085;2002;20.1
085;2003;19.9
085;2004;19.9
085;2005;19.8
085;2006;20.2
085;2007;19.9
085;2008;19.9
085;2009;19.6
085;2010;19.2
085;2011;19.1
085;2012;19.4
085;2013;18.9
085;2014;19.1
085;2015;19.5
091;2000;14.4
091;2001;14.6
091;2002;13.8
091;2003;14.1
091;2004;14.3
091;2005;13.9
091;2006;13.9
091;2007;13.8
091;2008;14.4
091;2009;14.3
091;2010;14.7
091;2011;14.6
091;2012;14.2
091;2013;13.8
091;2014;13.9
091;2015;14.2
092;2000;17.6
092;2001;17.7
092;2002;17.9
092;2003;18.2
092;2004;17.5
092;2005;18.4
092;2006;18.8
092;2007;18.3
092;2008;17.9
092;2009;18.3
092;2010;18.6
092;2011;18.8
092;2012;19.2
092;2013;19.0
092;2014;20.3
092;2015;20.3
101;2000;14.6
101;2001;15.0
101;2002;15.0
101;2003;15.1
101;2004;15.1
101;2005;15.1
101;2006;15.0
101;2007;14.9
101;2008;14.8
101;2009;14.7
101;2010;14.9
101;2011;14.4
101;2012;14.2
101;2013;14.4
101;2014;14.5
101;2015;14.5
102;2000;14.7
102;2001;15.0
102;2002;14.8
102;2003;14.9
102;2004;14.6
102;2005;14.4
102;2006;14.2
102;2007;13.6
102;2008;14.4
102;2009;14.9
102;2010;14.4
102;2011;14.7
102;2012;15.5
102;2013;15.2
102;2014;15.6
102;2015;16.2
103;2000;20.5
103;2001;20.6
103;2002;20.4
103;2003;20.3
103;2004;19.5
103;2005;19.7
103;2006;19.4
103;2007;19.7
103;2008;19.3
103;2009;18.8
103;2010;19.3
103;2011;20.1
103;2012;20.1
103;2013;20.6
103;2014;20.5
103;2015;21.1
111;2000;15.6
111;2001;15.0
111;2002;14.8
111;2003;14.9
111;2004;14.6
111;2005;14.4
111;2006;13.7
111;2007;14.1
111;2008;14.0
111;2009;13.2
111;2010;14.2
111;2011;13.7
111;2012;13.4
111;2013;13.3
111;2014;13.2
111;2015;13.2
112;2000;15.7
112;2001;15.1
112;2002;15.1
112;2003;15.0
112;2004;15.1
112;2005;14.8
112;2006;14.8
112;2007;15.6
112;2008;15.0
112;2009;14.6
112;2010;14.4
112;2011;13.9
112;2012;14.3
112;2013;14.7
112;2014;14.9
112;2015;14.9
113;2000;21.4
113;2001;21.6
113;2002;21.2
113;2003;20.2
113;2004;19.6
113;2005;19.5
113;2006;19.2
113;2007;19.0
113;2008;19.3
113;2009;19.3
113;2010;19.0
113;2011;18.7
113;2012;18.3
113;2013;18.0
113;2014;17.8
113;2015;17.3
114;2000;24.1
114;2001;23.7
114;2002;22.3
114;2003;22.2
114;2004;20.9
114;2005;19.7
114;2006;19.0
114;2007;19.6
114;2008;18.9
114;2009;17.7
114;2010;16.3
114;2011;17.3
114;2012;17.0
114;2013;17.3
114;2014;18.3
114;2015;18.8
115;2000;21.3
115;2001;21.8
115;2002;21.6
115;2003;21.4
115;2004;21.3
115;2005;21.2
115;2006;21.3
115;2007;20.6
115;2008;21.4
115;2009;21.0
115;2010;20.8
115;2011;20.6
115;2012;20.9
115;2013;21.4
115;2014;21.1
115;2015;21.2
121;2000;12.7
121;2001;12.0
121;2002;11.5
121;2003;11.3
121;2004;11.6
121;2005;11.1
121;2006;10.7
121;2007;10.4
121;2008;10.3
121;2009;9.7
121;2010;9.3
121;2011;9.6
121;2012;10.6
121;2013;10.5
121;2014;10.1
121;2015;10.8
122;2000;9.6
122;2001;10.5
122;2002;10.2
122;2003;10.3
122;2004;9.5
122;2005;9.3
122;2006;9.4
122;2007;8.8
122;2008;9.3
122;2009;8.3
122;2010;8.2
122;2011;8.1
122;2012;8.8
122;2013;9.0
122;2014;8.2
122;2015;8.8
131;2000;11.4
131;2001;11.7
131;2002;11.5
131;2003;12.2
131;2004;11.6
131;2005;10.4
131;2006;10.7
131;2007;10.7
131;2008;11.1
131;2009;10.1
131;2010;9.2
131;2011;8.9
131;2012;8.1
131;2013;8.4
131;2014;8.8
131;2015;9.1
132;2000;15.0
132;2001;14.0
132;2002;13.4
132;2003;14.1
132;2004;13.8
