wbe;jahr;anteil_maennlich
085;2004;45.8
085;2005;46.1
085;2006;46.0
085;2007;45.9
085;2008;45.9
085;2009;46.1
085;2010;46.2
085;2011;45.8
085;2012;46.0
085;2013;46.4
085;2014;46.3
085;2015;46.4
091;2000;44.2
091;2001;44.3
091;2002;44.2
091;2003;44.5
091;2004;44.5
091;2005;44.6
091;2006;44.6
091;2007;44.5
091;2008;44.3
091;2009;44.6
091;2010;45.1
091;2011;45.3
091;2012;45.0
091;2013;45.4
091;2014;45.4
091;2015;45.6
092;2000;43.5
092;2001;43.6
092;2002;43.3
092;2003;43.6
092;2004;43.3
092;2005;42.8
092;2006;42.4
092;2007;42.8
092;2008;43.0
092;2009;42.8
092;2010;43.1
092;2011;43.5
092;2012;43.9
092;2013;44.7
092;2014;44.2
092;2015;44.1
101;2000;46.5
101;2001;46.3
101;2002;46.1
101;2003;46.3
101;2004;46.4
101;2005;46.4
101;2006;46.5
101;2007;46.9
101;2008;46.9
101;2009;46.9
101;2010;46.8
101;2011;47.4
101;2012;47.5
101;2013;47.9
101;2014;47.6
101;2015;48.0
102;2000;42.8
102;2001;42.1
102;2002;42.6
102;2003;42.9
102;2004;43.2
102;2005;43.8
102;2006;44.7
102;2007;44.9
102;2008;44.6
102;2009;45.1
102;2010;44.7
102;2011;45.1
102;2012;45.9
102;2013;45.8
102;2014;46.3
102;2015;45.9
103;2000;44.6
103;2001;45.2
103;2002;45.2
103;2003;45.5
103;2004;45.1
103;2005;45.3
103;2006;45.8
103;2007;45.6
103;2008;46.3
103;2009;46.7
103;2010;47.3
103;2011;47.5
103;2012;47.3
103;2013;47.5
103;2014;47.2
103;2015;47.6
111;2000;47.2
111;2001;47.0
111;2002;46.8
111;2003;46.1
111;2004;46.7
111;2005;46.9
111;2006;46.8
111;2007;46.6
111;2008;47.4
111;2009;47.3
111;2010;46.9
111;2011;47.1
111;2012;46.7
111;2013;46.8
111;2014;46.7
111;2015;46.3
112;2000;46.0
112;2001;45.6
112;2002;45.2
112;2003;44.6
112;2004;45.2
112;2005;44.9
112;2006;45.6
112;2007;45.8
112;2008;45.7
112;2009;45.1
112;2010;45.3
112;2011;45.7
112;2012;45.6
112;2013;45.4
112;2014;45.8
112;2015;45.2
113;2000;50.2
113;2001;50.7
113;2002;51.0
113;2003;51.5
113;2004;51.5
113;2005;51.5
113;2006;51.6
113;2007;51.4
113;2008;51.3
113;2009;50.7
113;2010;50.9
113;2011;51.4
113;2012;51.3
113;2013;50.8
113;2014;50.3
113;2015;50.4
114;2000;52.8
114;2001;53.2
114;2002;54.3
114;2003;53.5
114;2004;53.4
114;2005;54.7
114;2006;54.8
114;2007;54.7
114;2008;54.0
114;2009;53.5
114;2010;53.1
114;2011;52.7
114;2012;53.4
114;2013;54.2
114;2014;54.5
114;2015;54.1
115;2000;46.1
115;2001;45.9
115;2002;46.1
115;2003;45.9
115;2004;46.1
115;2005;45.7
115;2006;45.9
115;2007;46.0
115;2008;46.0
115;2009;46.3
115;2010;46.1
115;2011;46.3
115;2012;46.3
115;2013;46.8
115;2014;46.6
115;2015;46.8
121;2000;52.3
121;2001;52.3
121;2002;53.7
121;2003;53.7
121;2004;53.7
121;2005;54.4
121;2006;54.1
121;2007;53.3
121;2008;52.8
121;2009;52.8
121;2010;53.3
121;2011;53.5
121;2012;53.1
121;2013;53.2
121;2014;53.6
