wbe;jahr;ant_eingetragen
132;2004;0.0
132;2005;0.0
132;2006;0.0
132;2007;0.1
132;2008;0.2
132;2009;0.2
132;2010;0.3
132;2011;0.3
132;2012;0.4
132;2013;0.5
132;2014;0.5
132;2015;0.6
141;2000;0.0
141;2001;0.0
141;2002;0.0
141;2003;0.0
141;2004;0.0
141;2005;0.0
141;2006;0.0
141;2007;0.1
141;2008;0.1
141;2009;0.3
141;2010;0.3
141;2011;0.2
141;2012;0.1
141;2013;0.2
141;2014;0.4
141;2015;0.4
142;2000;0.0
142;2001;0.0
142;2002;0.0
142;2003;0.0
142;2004;0.0
142;2005;0.0
142;2006;0.0
142;2007;0.2
142;2008;0.2
142;2009;0.2
142;2010;0.2
142;2011;0.3
142;2012;0.3
142;2013;0.3
142;2014;0.3
142;2015;0.3
151;2000;0.0
151;2001;0.0
151;2002;0.0
151;2003;0.0
151;2004;0.0
151;2005;0.0
151;2006;0.0
151;2007;0.0
151;2008;0.0
151;2009;0.0
151;2010;0.0
151;2011;0.0
151;2012;0.0
151;2013;0.1
151;2014;0.1
151;2015;0.1
152;2000;0.0
152;2001;0.0
152;2002;0.0
152;2003;0.0
152;2004;0.0
152;2005;0.0
152;2006;0.0
152;2007;0.0
152;2008;0.1
152;2009;0.2
152;2010;0.2
152;2011;0.2
152;2012;0.3
152;2013;0.3
152;2014;0.2
152;2015;0.1
153;2000;0.0
153;2001;0.0
153;2002;0.0
153;2003;0.0
153;2004;0.0
153;2005;0.0
153;2006;0.0
153;2007;0.1
153;2008;0.1
153;2009;0.1
153;2010;0.1
153;2011;0.1
153;2012;0.1
153;2013;0.1
153;2014;0.1
153;2015;0.1
161;2000;0.0
161;2001;0.0
161;2002;0.0
161;2003;0.0
161;2004;0.0
161;2005;0.0
161;2006;0.0
161;2007;0.0
161;2008;0.0
161;2009;0.0
161;2010;0.0
161;2011;0.0
161;2012;0.1
161;2013;0.1
161;2014;0.2
161;2015;0.3
162;2000;0.0
162;2001;0.0
162;2002;0.0
162;2003;0.0
162;2004;0.0
162;2005;0.0
162;2006;0.0
162;2007;0.0
162;2008;0.0
162;2009;0.0
162;2010;0.4
162;2011;0.3
162;2012;0.3
162;2013;0.3
162;2014;0.3
162;2015;0.6
171;2000;0.0
171;2001;0.0
171;2002;0.0
171;2003;0.0
171;2004;0.0
171;2005;0.0
