wbe;jahr;anzahl_bs
101;2004;1847
101;2005;1795
101;2006;1766
101;2007;1801
101;2008;1801
101;2009;1811
101;2010;1878
101;2011;1898
101;2012;1902
101;2013;1886
101;2014;1919
101;2015;1881
102;2000;1686
102;2001;1647
102;2002;1586
102;2003;1598
102;2004;1562
102;2005;1532
102;2006;1543
102;2007;1542
102;2008;1538
102;2009;1525
102;2010;1472
102;2011;1480
102;2012;1466
102;2013;1443
102;2014;1456
102;2015;1467
103;2000;1807
103;2001;1798
103;2002;1776
103;2003;1786
103;2004;1802
103;2005;1817
103;2006;1757
103;2007;1743
103;2008;1794
103;2009;1775
103;2010;1822
103;2011;1824
103;2012;1788
103;2013;1802
103;2014;1782
103;2015;1826
111;2000;995
111;2001;1013
111;2002;1033
111;2003;1039
111;2004;1008
111;2005;1003
111;2006;956
111;2007;989
111;2008;982
111;2009;965
111;2010;983
111;2011;1018
111;2012;1020
111;2013;990
111;2014;981
111;2015;981
112;2000;636
112;2001;644
112;2002;642
112;2003;628
112;2004;613
112;2005;614
112;2006;619
112;2007;639
112;2008;659
112;2009;649
112;2010;662
112;2011;632
112;2012;623
112;2013;630
112;2014;623
112;2015;602
113;2000;1418
113;2001;1407
113;2002;1433
113;2003;1408
113;2004;1402
113;2005;1416
113;2006;1406
113;2007;1510
113;2008;1551
113;2009;1560
113;2010;1584
113;2011;1596
113;2012;1613
113;2013;1628
113;2014;1622
113;2015;1633
114;2000;215
114;2001;245
114;2002;246
114;2003;269
114;2004;288
114;2005;265
114;2006;258
114;2007;267
114;2008;293
114;2009;320
114;2010;379
114;2011;375
114;2012;382
114;2013;369
114;2014;388
114;2015;394
115;2000;1516
115;2001;1487
115;2002;1450
115;2003;1486
115;2004;1489
115;2005;1490
115;2006;1498
115;2007;1513
115;2008;1528
115;2009;1553
115;2010;1521
115;2011;1494
115;2012;1471
115;2013;1460
115;2014;1499
115;2015;1482
121;2000;540
121;2001;522
121;2002;517
121;2003;492
121;2004;492
121;2005;483
121;2006;482
121;2007;460
121;2008;466
121;2009;458
121;2010;453
121;2011;442
121;2012;419
121;2013;397
121;2014;411
121;2015;428
122;2000;293
122;2001;295
122;2002;302
122;2003;289
122;2004;277
122;2005;285
122;2006;275
122;2007;243
122;2008;251
122;2009;262
122;2010;258
122;2011;276
122;2012;275
122;2013;276
122;2014;272
122;2015;279
131;2000;251
131;2001;262
131;2002;253
131;2003;267
131;2004;272
131;2005;268
131;2006;252
131;2007;260
131;2008;262
131;2009;261
131;2010;249
131;2011;254
131;2012;253
131;2013;259
131;2014;260
131;2015;274
132;2000;735
132;2001;725
132;2002;734
132;2003;719
132;2004;710
132;2005;711
132;2006;698
132;2007;758
132;2008;791
132;2009;783
132;2010;798
132;2011;816
132;2012;819
132;2013;819
132;2014;833
132;2015;813
141;2000;1060
141;2001;1018
141;2002;1017
141;2003;1026
141;2004;1040
141;2005;1033
141;2006;994
141;2007;1004
141;2008;994
141;2009;983
141;2010;999
141;2011;1016
141;2012;1012
141;2013;998
141;2014;1012
141;2015;1002
142;2000;1094
142;2001;1061
142;2002;1070
142;2003;1051
142;2004;1036
142;2005;1010
142;2006;970
142;2007;985
142;2008;972
142;2009;981
142;2010;963
142;2011;970
142;2012;966
142;2013;954
142;2014;940
142;2015;927
151;2000;1114
151;2001;1122
151;2002;1113
151;2003;1092
151;2004;1080
151;2005;1097
151;2006;1097
151;2007;1119
151;2008;1086
151;2009;1098
151;2010;1058
151;2011;1087
151;2012;1081
151;2013;1110
151;2014;1104
151;2015;1153
152;2000;1561
152;2001;1543
152;2002;1535
152;2003;1483
152;2004;1480
152;2005;1447
152;2006;1446
152;2007;1437
152;2008;1442
152;2009;1428
152;2010;1447
152;2011;1464
152;2012;1420
152;2013;1392
152;2014;1356
152;2015;1319
153;2000;1639
153;2001;1651
153;2002;1640
153;2003;1613
153;2004;1606
153;2005;1598
153;2006;1527
153;2007;1486
153;2008;1522
153;2009;1533
153;2010;1548
153;2011;1553
153;2012;1522
153;2013;1511
153;2014;1547
153;2015;1575
161;2000;926
161;2001;933
161;2002;943
161;2003;959
161;2004;956
161;2005;971
161;2006;991
161;2007;1041
161;2008;1069
161;2009;1076
161;2010;1069
161;2011;1031
161;2012;1101
161;2013;1089
161;2014;1098
161;2015;1109
162;2000;6
162;2001;8
162;2002;10
162;2003;18
162;2004;17
162;2005;14
162;2006;25
162;2007;35
162;2008;38
162;2009;90
162;2010;114
162;2011;115
162;2012;101
162;2013;110
162;2014;116
162;2015;288
171;2000;413
171;2001;405
171;2002;402
171;2003;403
171;2004;365
171;2005;369
171;2006;368
171;2007;355
171;2008;360
171;2009;351
171;2010;343
171;2011;334
171;2012;359
171;2013;354
171;2014;348
171;2015;364
172;2000;828
172;2001;796
172;2002;791
172;2003;811
172;2004;809
172;2005;801
172;2006;803
172;2007;823
172;2008;873
172;2009;872
172;2010;878
172;2011;905
172;2012;896
172;2013;929
172;2014;930
172;2015;943
173;2000;540
173;2001;557
173;2002;581
173;2003;603
173;2004;599
173;2005;609
173;2006;580
173;2007;633
173;2008;628
173;2009;647
173;2010;647
173;2011;645
173;2012;620
173;2013;634
173;2014;622
173;2015;618
174;2000;1288
174;2001;1299
174;2002;1313
174;2003;1338
174;2004;1384
174;2005;1413
174;2006;1416
174;2007;1492
174;2008;1551
174;2009;1528
174;2010;1586
174;2011;1606
174;2012;1607
174;2013;1599
174;2014;1581
174;2015;1564
180;2000;1456
180;2001;1445
180;2002;1433
180;2003;1449
180;2004;1464
180;2005;1459
180;2006;1536
180;2007;1617
180;2008;1731
180;2009;1725
180;2010;1696
180;2011;1732
180;2012;1711
180;2013;1745
180;2014;1759
180;2015;1731
190;2000;571
190;2001;559
190;2002;583
190;2003;598
190;2004;600
190;2005;621
190;2006;606
190;2007;660
190;2008;719
190;2009;721
190;2010;745
190;2011;756
190;2012;794
190;2013;799
190;2014;819
190;2015;821
201;2000;1565
201;2001;1610
201;2002;1633
201;2003;1614
201;2004;1571
201;2005;1518
201;2006;1518
201;2007;1508
201;2008;1504
201;2009;1496
201;2010;1460
201;2011;1436
201;2012;1448
201;2013;1456
201;2014;1435
201;2015;1441
202;2000;949
202;2001;941
202;2002;920
202;2003;924
202;2004;915
202;2005;913
202;2006;912
202;2007;915
202;2008;909
202;2009;918
202;2010;930
202;2011;902
202;2012;888
202;2013;855
202;2014;849
202;2015;846
203;2000;668
203;2001;658
203;2002;613
203;2003;610
203;2004;622
203;2005;602
203;2006;618
203;2007;606
203;2008;595
203;2009;584
203;2010;598
203;2011;588
203;2012;588
203;2013;583
203;2014;570
203;2015;566
204;2000;582
204;2001;565
204;2002;558
204;2003;556
204;2004;548
204;2005;538
204;2006;519
204;2007;515
204;2008;513
204;2009;518
204;2010;506
204;2011;507
204;2012;505
204;2013;502
204;2014;500
204;2015;481
205;2000;1075
205;2001;1069
205;2002;1044
205;2003;1053
205;2004;1037
205;2005;1061
205;2006;1044
205;2007;1031
205;2008;1021
205;2009;1017
205;2010;1013
205;2011;1003
205;2012;1005
205;2013;1018
205;2014;1000
205;2015;971
206;2000;1328
206;2001;1292
206;2002;1295
206;2003;1275
206;2004;1299
206;2005;1272
206;2006;1248
206;2007;1209
206;2008;1208
206;2009;1186
206;2010;1175
206;2011;1177
206;2012;1153
206;2013;1145
206;2014;1140
206;2015;1094
207;2000;3016
207;2001;2966
207;2002;2889
207;2003;2874
207;2004;2833
207;2005;2852
207;2006;2827
207;2007;2842
207;2008;2810
207;2009;2732
207;2010;2721
207;2011;2655
207;2012;2668
207;2013;2628
207;2014;2593
207;2015;2592
208;2000;1007
208;2001;1009
208;2002;1022
208;2003;1017
208;2004;1009
208;2005;1012
208;2006;986
208;2007;967
208;2008;942
208;2009;919
208;2010;896
208;2011;880
208;2012;875
208;2013;869
208;2014;841
208;2015;823
301;2000;520
301;2001;489
301;2002;490
301;2003;494
301;2004;485
301;2005;476
301;2006;477
301;2007;468
301;2008;455
301;2009;457
301;2010;457
301;2011;468
301;2012;480
301;2013;488
301;2014;487
301;2015;475
302;2000;17
302;2001;17
302;2002;20
302;2003;19
302;2004;23
302;2005;22
302;2006;20
302;2007;21
302;2008;18
302;2009;13
302;2010;20
302;2011;19
302;2012;18
302;2013;19
302;2014;19
302;2015;18
