wbe;jahr;alter20
206;2013;1274
206;2014;1300
206;2015;1272
207;2000;3358
207;2001;3362
207;2002;3336
207;2003;3349
207;2004;3382
207;2005;3349
207;2006;3379
207;2007;3396
207;2008;3343
207;2009;3283
207;2010;3330
207;2011;3312
207;2012;3362
207;2013;3448
207;2014;3457
207;2015;3461
208;2000;1211
208;2001;1201
208;2002;1222
208;2003;1214
208;2004;1223
208;2005;1239
208;2006;1228
208;2007;1195
208;2008;1232
208;2009;1215
208;2010;1209
208;2011;1190
208;2012;1188
208;2013;1165
208;2014;1201
208;2015;1201
301;2000;552
301;2001;535
301;2002;535
301;2003;539
301;2004;550
301;2005;543
301;2006;549
301;2007;541
301;2008;540
301;2009;548
301;2010;545
301;2011;555
301;2012;573
301;2013;566
301;2014;581
301;2015;559
302;2000;183
302;2001;176
302;2002;162
302;2003;170
302;2004;161
302;2005;170
302;2006;172
302;2007;158
302;2008;154
302;2009;161
302;2010;144
302;2011;149
302;2012;149
302;2013;138
302;2014;146
302;2015;135
