wbe;jahr;gesbev
132;2007;2941
132;2008;3049
132;2009;3037
132;2010;3033
132;2011;3043
132;2012;3109
132;2013;3121
132;2014;3100
132;2015;3035
141;2000;2773
141;2001;2761
141;2002;2836
141;2003;2942
141;2004;3000
141;2005;2989
141;2006;3005
141;2007;3012
141;2008;3023
141;2009;3038
141;2010;3029
141;2011;3025
141;2012;3044
141;2013;3010
141;2014;3211
141;2015;3232
142;2000;2481
142;2001;2442
142;2002;2473
142;2003;2441
142;2004;2447
142;2005;2465
142;2006;2397
142;2007;2363
142;2008;2372
142;2009;2419
142;2010;2354
142;2011;2334
142;2012;2322
142;2013;2352
142;2014;2380
142;2015;2375
151;2000;2696
151;2001;2636
151;2002;2669
151;2003;2670
151;2004;2632
151;2005;2672
151;2006;2683
151;2007;2634
151;2008;2571
151;2009;2618
151;2010;2555
151;2011;2674
151;2012;2666
151;2013;2760
151;2014;2879
151;2015;2941
152;2000;2658
152;2001;2626
152;2002;2605
152;2003;2555
152;2004;2581
152;2005;2575
152;2006;2546
152;2007;2553
152;2008;2547
152;2009;2528
152;2010;2537
152;2011;2583
152;2012;2566
152;2013;2546
152;2014;2564
152;2015;2526
153;2000;3783
153;2001;3812
153;2002;3758
153;2003;3690
153;2004;3602
153;2005;3476
153;2006;3321
153;2007;3249
153;2008;3367
153;2009;3438
153;2010;3449
153;2011;3449
153;2012;3416
153;2013;3420
153;2014;3491
153;2015;3537
161;2000;4185
161;2001;4213
161;2002;4370
161;2003;4396
161;2004;4462
161;2005;4469
161;2006;4574
161;2007;4620
161;2008;4713
161;2009;4680
161;2010;4616
161;2011;4543
161;2012;4644
161;2013;4756
161;2014;4729
161;2015;4710
162;2000;97
162;2001;129
162;2002;136
162;2003;148
162;2004;134
162;2005;145
162;2006;148
162;2007;155
162;2008;170
162;2009;397
162;2010;526
162;2011;606
162;2012;625
162;2013;625
162;2014;608
162;2015;1463
171;2000;1393
171;2001;1378
171;2002;1364
171;2003;1380
171;2004;1398
171;2005;1407
171;2006;1429
171;2007;1383
171;2008;1454
171;2009;1438
171;2010;1415
171;2011;1407
171;2012;1468
171;2013;1458
171;2014;1491
171;2015;1485
172;2000;3687
172;2001;3490
172;2002;3494
172;2003;3530
172;2004;3611
172;2005;3531
172;2006;3440
172;2007;3471
172;2008;3571
172;2009;3546
172;2010;3541
172;2011;3593
172;2012;3631
172;2013;3711
172;2014;3690
172;2015;3717
173;2000;2973
173;2001;2946
173;2002;3090
173;2003;3107
173;2004;3118
173;2005;3089
173;2006;3106
173;2007;3169
173;2008;3205
173;2009;3158
173;2010;3098
173;2011;3141
173;2012;3093
173;2013;3133
173;2014;3117
173;2015;3115
174;2000;7145
174;2001;7252
174;2002;7372
174;2003;7454
174;2004;7483
174;2005;7518
174;2006;7533
174;2007;7557
174;2008;7620
174;2009;7527
174;2010;7609
174;2011;7720
174;2012;7655
174;2013;7815
174;2014;7854
174;2015;7707
180;2000;7073
180;2001;7008
180;2002;7015
180;2003;7038
180;2004;7003
180;2005;7017
180;2006;7122
180;2007;7026
180;2008;7126
180;2009;7230
180;2010;7149
180;2011;7254
180;2012;7268
180;2013;7294
180;2014;7348
180;2015;7281
190;2000;2362
190;2001;2363
190;2002;2466
190;2003;2504
190;2004;2480
190;2005;2560
190;2006;2558
190;2007;2542
190;2008;2553
190;2009;2639
190;2010;2624
190;2011;2699
190;2012;2877
190;2013;2878
190;2014;2876
190;2015;2900
201;2000;3246
201;2001;3363
201;2002;3402
201;2003;3428
201;2004;3388
201;2005;3310
201;2006;3302
201;2007;3302
201;2008;3356
