wbe;jahr;anteil_bs
203;2009;48.3
203;2010;47.9
203;2011;47.1
203;2012;45.1
203;2013;44.6
203;2014;44.1
203;2015;43.9
204;2000;56.9
204;2001;54.2
204;2002;53.8
204;2003;53.9
204;2004;54.3
204;2005;55.7
204;2006;54.5
204;2007;52.8
204;2008;52.9
204;2009;53.4
204;2010;51.2
204;2011;50.4
204;2012;50.1
204;2013;50.0
204;2014;49.8
204;2015;49.7
205;2000;52.0
205;2001;51.1
205;2002;49.4
205;2003;50.5
205;2004;50.4
205;2005;51.6
205;2006;50.4
205;2007;50.3
205;2008;49.8
205;2009;49.4
205;2010;47.4
205;2011;47.3
205;2012;47.6
205;2013;47.5
205;2014;47.6
205;2015;46.8
206;2000;57.0
206;2001;55.8
206;2002;54.8
206;2003;54.9
206;2004;55.4
206;2005;55.2
206;2006;54.7
206;2007;52.9
206;2008;52.3
206;2009;51.0
206;2010;50.2
206;2011;49.9
206;2012;49.2
206;2013;48.1
206;2014;47.3
206;2015;46.1
207;2000;48.1
207;2001;47.2
207;2002;46.5
207;2003;46.1
207;2004;45.3
207;2005;45.8
207;2006;45.2
207;2007;45.2
207;2008;45.2
207;2009;44.6
207;2010;44.0
207;2011;43.3
207;2012;43.1
207;2013;41.7
207;2014;41.2
207;2015;41.2
208;2000;47.8
208;2001;47.9
208;2002;48.1
208;2003;47.4
208;2004;47.0
208;2005;46.8
208;2006;45.7
208;2007;45.3
208;2008;42.8
208;2009;42.5
208;2010;41.7
208;2011;41.0
208;2012;40.2
208;2013;40.5
208;2014;39.0
208;2015;37.8
301;2000;56.0
301;2001;53.7
301;2002;53.2
301;2003;53.1
301;2004;51.5
301;2005;51.3
301;2006;50.7
301;2007;50.5
301;2008;48.6
301;2009;48.4
301;2010;48.5
301;2011;49.1
301;2012;49.6
301;2013;50.6
301;2014;48.7
301;2015;48.9
302;2000;6.6
302;2001;6.8
302;2002;7.9
302;2003;7.0
302;2004;8.8
302;2005;8.2
302;2006;7.6
302;2007;8.3
302;2008;7.5
302;2009;5.2
302;2010;8.9
302;2011;8.3
302;2012;7.8
302;2013;8.4
302;2014;7.9
302;2015;7.8
