wbe;jahr;evangelischreformiert
102;2003;20.9
102;2004;19.8
102;2005;20.2
102;2006;19.0
102;2007;18.2
102;2008;17.8
102;2009;17.1
102;2010;16.5
102;2011;15.7
102;2012;14.8
102;2013;14.8
102;2014;14.3
102;2015;13.8
103;2000;20.8
103;2001;20.5
103;2002;19.9
103;2003;18.7
103;2004;18.5
103;2005;17.6
103;2006;16.7
103;2007;15.7
103;2008;14.8
103;2009;13.8
103;2010;13.1
103;2011;12.3
103;2012;11.8
103;2013;11.4
103;2014;10.8
103;2015;10.3
111;2000;19.5
111;2001;19.2
111;2002;18.7
111;2003;18.1
111;2004;18.2
111;2005;17.8
111;2006;17.1
111;2007;16.1
111;2008;15.2
111;2009;14.6
111;2010;14.2
111;2011;13.8
111;2012;13.9
111;2013;13.5
111;2014;13.1
111;2015;13.0
112;2000;20.8
112;2001;21.1
112;2002;20.0
112;2003;19.3
112;2004;18.5
112;2005;19.6
112;2006;19.6
112;2007;19.9
112;2008;19.5
112;2009;18.6
112;2010;18.6
112;2011;18.2
112;2012;17.4
112;2013;17.0
112;2014;16.5
112;2015;16.1
113;2000;13.2
113;2001;13.3
113;2002;13.0
113;2003;12.0
113;2004;11.8
113;2005;11.6
113;2006;12.0
113;2007;11.9
113;2008;11.5
113;2009;10.9
113;2010;10.5
113;2011;10.1
113;2012;10.0
113;2013;10.0
113;2014;9.6
113;2015;8.9
114;2000;10.5
114;2001;9.9
114;2002;9.1
114;2003;8.2
114;2004;8.5
114;2005;8.4
114;2006;8.4
114;2007;7.6
114;2008;7.8
114;2009;8.9
114;2010;8.2
114;2011;7.7
114;2012;7.1
114;2013;7.2
114;2014;7.0
114;2015;7.2
115;2000;25.5
115;2001;24.1
115;2002;22.5
115;2003;21.6
115;2004;21.2
115;2005;20.3
115;2006;19.4
115;2007;18.8
115;2008;18.2
115;2009;17.6
115;2010;16.4
115;2011;15.5
115;2012;15.1
115;2013;14.6
115;2014;14.2
115;2015;13.5
121;2000;20.8
121;2001;21.0
121;2002;19.8
121;2003;19.8
121;2004;18.3
121;2005;19.2
121;2006;19.1
121;2007;19.1
121;2008;19.6
121;2009;17.3
121;2010;17.1
121;2011;16.0
121;2012;16.2
121;2013;14.6
121;2014;14.3
121;2015;13.5
122;2000;18.2
122;2001;17.7
122;2002;17.6
122;2003;16.4
122;2004;16.7
122;2005;16.8
122;2006;16.0
122;2007;15.2
122;2008;15.1
122;2009;14.9
122;2010;13.3
122;2011;12.2
122;2012;13.3
122;2013;13.1
122;2014;11.3
122;2015;10.8
131;2000;17.9
131;2001;15.7
131;2002;13.5
131;2003;13.9
131;2004;14.5
131;2005;13.3
131;2006;13.3
131;2007;13.5
131;2008;12.8
131;2009;11.1
131;2010;11.6
131;2011;11.5
131;2012;10.5
131;2013;9.0
131;2014;8.7
131;2015;8.9
132;2000;15.3
132;2001;14.1
132;2002;13.6
132;2003;13.3
132;2004;13.2
132;2005;12.8
132;2006;13.2
132;2007;13.3
132;2008;12.0
132;2009;11.6
132;2010;10.9
132;2011;10.8
132;2012;10.3
132;2013;9.8
132;2014;8.8
132;2015;9.3
141;2000;25.9
141;2001;25.5
141;2002;25.5
141;2003;24.9
141;2004;24.0
141;2005;23.5
141;2006;22.2
141;2007;22.3
141;2008;22.4
141;2009;21.8
141;2010;21.3
141;2011;21.0
141;2012;20.8
141;2013;20.0
141;2014;19.0
141;2015;18.9
142;2000;22.9
142;2001;22.1
142;2002;21.1
142;2003;20.9
142;2004;20.7
142;2005;20.2
142;2006;20.6
142;2007;20.9
142;2008;19.9
142;2009;18.4
142;2010;17.8
142;2011;16.6
142;2012;15.1
142;2013;15.1
142;2014;14.8
142;2015;13.9
151;2000;24.2
151;2001;23.4
151;2002;22.7
151;2003;22.5
151;2004;21.6
151;2005;20.9
151;2006;19.7
151;2007;18.9
151;2008;18.4
151;2009;18.2
151;2010;17.9
151;2011;17.0
151;2012;15.8
151;2013;15.6
151;2014;14.0
151;2015;14.5
152;2000;33.6
152;2001;33.8
152;2002;32.8
152;2003;32.0
152;2004;31.0
152;2005;30.4
152;2006;29.3
152;2007;28.4
152;2008;27.9
152;2009;27.6
152;2010;26.3
152;2011;25.1
152;2012;23.6
152;2013;22.0
152;2014;21.6
152;2015;21.1
153;2000;27.5
153;2001;26.2
153;2002;25.5
153;2003;24.9
153;2004;24.9
153;2005;25.3
153;2006;24.9
153;2007;24.7
153;2008;24.4
153;2009;23.4
153;2010;22.5
153;2011;21.3
153;2012;20.1
153;2013;19.4
153;2014;18.6
153;2015;17.6
161;2000;12.9
161;2001;12.3
161;2002;11.7
161;2003;11.4
161;2004;11.1
161;2005;11.2
161;2006;10.8
161;2007;9.9
161;2008;9.5
161;2009;9.2
161;2010;8.4
161;2011;7.8
161;2012;8.4
161;2013;8.2
161;2014;8.0
161;2015;7.9
162;2000;20.6
162;2001;17.1
162;2002;17.6
162;2003;16.9
162;2004;9.7
162;2005;6.9
162;2006;7.4
162;2007;6.5
162;2008;6.5
162;2009;10.6
162;2010;8.9
162;2011;7.8
162;2012;6.1
162;2013;6.2
162;2014;5.1
162;2015;5.7
171;2000;21.6
171;2001;20.5
171;2002;21.0
171;2003;18.9
171;2004;18.9
171;2005;17.9
171;2006;16.8
171;2007;17.6
171;2008;15.0
171;2009;15.1
171;2010;14.1
171;2011;13.6
171;2012;13.4
171;2013;13.9
171;2014;12.7
171;2015;13.2
172;2000;14.4
172;2001;15.6
172;2002;14.5
172;2003;14.6
172;2004;15.0
172;2005;15.0
172;2006;14.4
172;2007;14.1
172;2008;13.7
172;2009;13.0
172;2010;11.5
172;2011;11.0
172;2012;10.4
172;2013;10.5
172;2014;9.6
172;2015;9.3
173;2000;11.9
173;2001;11.1
173;2002;10.7
173;2003;10.3
173;2004;10.2
173;2005;10.8
173;2006;10.2
173;2007;9.9
173;2008;10.3
173;2009;10.0
173;2010;9.9
173;2011;9.1
173;2012;9.0
173;2013;9.0
173;2014;8.2
173;2015;7.6
174;2000;11.4
174;2001;10.9
174;2002;10.0
174;2003;10.1
174;2004;9.8
174;2005;9.7
174;2006;9.4
174;2007;9.3
174;2008;9.4
174;2009;9.3
174;2010;8.8
174;2011;8.4
174;2012;8.6
174;2013;8.2
174;2014;7.9
174;2015;7.5
180;2000;14.0
180;2001;13.6
180;2002;13.1
180;2003;12.3
180;2004;12.0
180;2005;11.6
180;2006;11.3
180;2007;11.2
180;2008;10.9
180;2009;10.6
180;2010;10.4
180;2011;9.6
180;2012;9.3
180;2013;8.6
180;2014;8.4
180;2015;8.2
190;2000;17.7
190;2001;17.2
190;2002;15.6
190;2003;15.1
190;2004;14.5
190;2005;13.2
190;2006;13.0
190;2007;13.1
190;2008;11.9
190;2009;11.0
190;2010;10.4
190;2011;9.5
190;2012;9.2
190;2013;9.3
190;2014;8.4
190;2015;8.4
201;2000;39.3
201;2001;38.4
201;2002;36.8
201;2003;36.7
201;2004;35.4
201;2005;34.7
201;2006;33.9
201;2007;33.3
201;2008;31.9
201;2009;31.3
201;2010;29.4
201;2011;28.0
201;2012;28.2
201;2013;27.6
201;2014;26.7
201;2015;26.3
202;2000;29.3
202;2001;27.8
202;2002;26.4
202;2003;26.3
202;2004;25.3
202;2005;25.5
202;2006;23.9
202;2007;23.4
202;2008;22.7
202;2009;21.0
202;2010;20.8
202;2011;20.2
202;2012;19.7
202;2013;17.9
202;2014;17.7
202;2015;16.3
203;2000;40.6
203;2001;39.7
203;2002;39.6
203;2003;39.5
203;2004;39.2
203;2005;38.2
203;2006;37.4
203;2007;34.7
203;2008;32.7
203;2009;30.0
203;2010;29.7
203;2011;27.9
203;2012;25.9
203;2013;25.6
203;2014;24.9
203;2015;23.7
204;2000;40.8
204;2001;39.2
204;2002;38.2
204;2003;36.1
204;2004;36.9
204;2005;36.5
204;2006;34.6
204;2007;33.7
204;2008;32.8
204;2009;32.7
204;2010;31.5
204;2011;30.8
204;2012;30.9
204;2013;30.3
204;2014;29.7
204;2015;30.4
205;2000;37.7
205;2001;36.6
205;2002;35.5
205;2003;35.5
205;2004;34.0
205;2005;34.3
205;2006;33.2
205;2007;31.7
205;2008;30.9
205;2009;30.0
205;2010;28.5
205;2011;27.7
205;2012;27.5
205;2013;27.2
205;2014;27.0
205;2015;25.7
206;2000;38.1
206;2001;37.2
206;2002;36.3
206;2003;34.7
206;2004;34.2
206;2005;34.7
206;2006;33.9
206;2007;33.2
206;2008;32.5
206;2009;31.0
206;2010;30.3
206;2011;29.4
206;2012;28.7
206;2013;27.9
206;2014;27.4
206;2015;26.7
207;2000;31.4
