wbe;jahr;anteil_ch
084;2015;78.2
085;2000;89.5
085;2001;88.9
085;2002;88.1
085;2003;87.6
085;2004;86.8
085;2005;86.0
085;2006;85.3
085;2007;85.3
085;2008;85.2
085;2009;84.8
085;2010;84.7
085;2011;84.4
085;2012;83.7
085;2013;83.3
085;2014;82.4
085;2015;82.0
091;2000;78.0
091;2001;78.1
091;2002;77.8
091;2003;76.6
091;2004;75.1
091;2005;74.4
091;2006;74.8
091;2007;73.5
091;2008;72.5
091;2009;70.8
091;2010;70.1
091;2011;69.8
091;2012;70.1
091;2013;69.9
091;2014;68.7
091;2015;68.7
092;2000;89.8
092;2001;89.5
092;2002;89.6
092;2003;88.3
092;2004;87.9
092;2005;88.5
092;2006;88.0
092;2007;86.4
092;2008;86.3
092;2009;86.1
092;2010;85.8
092;2011;85.6
092;2012;85.0
092;2013;84.4
092;2014;83.3
092;2015;82.5
101;2000;68.9
101;2001;68.7
101;2002;68.1
101;2003;66.9
101;2004;66.7
101;2005;66.1
101;2006;65.5
101;2007;65.4
101;2008;65.0
101;2009;63.7
101;2010;64.3
101;2011;64.1
101;2012;64.6
101;2013;63.6
101;2014;63.2
101;2015;62.8
102;2000;78.4
102;2001;76.9
102;2002;75.6
102;2003;75.3
102;2004;74.0
102;2005;74.0
102;2006;73.7
102;2007;73.4
102;2008;72.9
102;2009;71.4
102;2010;69.8
102;2011;69.3
102;2012;67.8
102;2013;66.3
102;2014;66.0
102;2015;65.4
103;2000;70.8
103;2001;69.8
103;2002;69.7
103;2003;69.1
103;2004;69.5
103;2005;68.7
103;2006;67.6
103;2007;66.7
103;2008;67.0
103;2009;66.7
103;2010;65.8
103;2011;63.9
103;2012;63.6
103;2013;63.3
103;2014;63.2
103;2015;62.1
111;2000;66.5
111;2001;66.4
111;2002;65.9
111;2003;66.3
111;2004;66.2
111;2005;65.2
111;2006;63.6
111;2007;63.5
111;2008;62.8
111;2009;62.0
111;2010;62.4
111;2011;63.0
111;2012;63.0
111;2013;61.1
111;2014;60.8
111;2015;61.2
112;2000;70.2
112;2001;71.2
112;2002;70.3
112;2003;70.8
112;2004;70.7
112;2005;69.7
112;2006;69.5
112;2007;69.0
112;2008;68.6
112;2009;67.8
112;2010;68.0
112;2011;66.5
112;2012;65.4
112;2013;65.5
112;2014;65.1
112;2015;65.3
113;2000;49.8
113;2001;49.7
113;2002;49.1
113;2003;48.2
113;2004;48.3
113;2005;48.9
113;2006;49.0
113;2007;50.8
113;2008;50.7
113;2009;50.0
113;2010;50.5
113;2011;50.2
113;2012;50.6
113;2013;50.0
113;2014;50.4
113;2015;50.9
114;2000;37.2
114;2001;39.0
114;2002;39.2
114;2003;42.0
114;2004;42.4
114;2005;43.0
114;2006;42.7
114;2007;44.0
114;2008;46.9
114;2009;45.6
114;2010;46.4
114;2011;44.7
114;2012;43.2
114;2013;42.6
114;2014;43.7
114;2015;43.1
115;2000;73.2
115;2001;71.5
115;2002;69.9
115;2003;69.8
115;2004;69.5
115;2005;69.1
115;2006;68.3
115;2007;68.4
115;2008;67.9
115;2009;67.5
115;2010;66.8
115;2011;66.3
115;2012;65.0
115;2013;64.0
115;2014;63.5
115;2015;64.4
121;2000;77.1
121;2001;76.9
121;2002;75.5
121;2003;75.4
121;2004;73.8
121;2005;73.6
121;2006;73.0
121;2007;73.2
121;2008;72.3
121;2009;69.7
121;2010;71.0
121;2011;71.7
121;2012;69.5
121;2013;66.7
121;2014;66.7
121;2015;66.4
122;2000;72.2
122;2001;71.2
122;2002;72.0
122;2003;71.1
122;2004;71.8
122;2005;72.0
122;2006;69.7
122;2007;66.7
122;2008;67.6
122;2009;67.7
122;2010;64.7
122;2011;65.1
122;2012;65.4
122;2013;63.2
122;2014;60.6
122;2015;60.7
131;2000;64.0
131;2001;64.2
131;2002;61.3
131;2003;61.7
131;2004;62.7
131;2005;61.0
131;2006;59.9
131;2007;61.1
131;2008;59.6
131;2009;57.3
131;2010;58.8
131;2011;58.1
131;2012;57.0
131;2013;55.2
131;2014;54.9
131;2015;55.2
132;2000;56.1
132;2001;56.5
132;2002;56.5
132;2003;55.4
132;2004;55.6
132;2005;55.2
132;2006;54.3
132;2007;55.3
132;2008;54.6
132;2009;54.0
132;2010;54.0
132;2011;54.4
132;2012;53.4
132;2013;53.1
132;2014;52.9
132;2015;52.9
141;2000;80.1
141;2001;79.0
141;2002;78.2
141;2003;78.4
141;2004;77.2
141;2005;77.0
141;2006;75.9
141;2007;75.4
141;2008;74.3
141;2009;73.4
141;2010;74.0
141;2011;73.4
141;2012;71.9
141;2013;71.9
141;2014;69.5
141;2015;67.5
142;2000;80.7
142;2001;79.9
142;2002;78.2
142;2003;77.8
142;2004;77.4
142;2005;76.5
142;2006;75.7
142;2007;76.5
142;2008;75.5
142;2009;73.7
142;2010;73.9
142;2011;73.9
142;2012;73.1
142;2013;72.2
142;2014;71.8
142;2015;71.2
151;2000;77.0
151;2001;78.3
151;2002;78.0
151;2003;77.5
151;2004;78.1
151;2005;77.1
151;2006;76.1
151;2007;77.6
151;2008;76.4
151;2009;75.2
151;2010;74.6
151;2011;73.1
151;2012;71.7
151;2013;71.2
151;2014;68.2
151;2015;69.3
152;2000;90.0
152;2001;89.9
152;2002;89.7
152;2003;89.6
152;2004;89.2
152;2005;88.7
152;2006;88.6
152;2007;87.3
152;2008;87.6
152;2009;88.1
152;2010;87.9
152;2011;87.2
152;2012;86.7
152;2013;86.1
152;2014;84.5
152;2015;84.7
153;2000;81.5
153;2001;80.7
153;2002;81.1
153;2003;81.0
153;2004;81.6
153;2005;82.0
