wbe;jahr;anzahl_l
204;2002;388
204;2003;375
204;2004;366
204;2005;337
204;2006;329
204;2007;333
204;2008;334
204;2009;329
204;2010;346
204;2011;356
204;2012;363
204;2013;357
204;2014;354
204;2015;338
205;2000;668
205;2001;696
205;2002;704
205;2003;691
205;2004;672
205;2005;679
205;2006;685
205;2007;681
205;2008;666
205;2009;690
205;2010;716
205;2011;720
205;2012;720
205;2013;735
205;2014;728
205;2015;709
206;2000;811
206;2001;807
206;2002;833
206;2003;834
206;2004;836
206;2005;837
206;2006;842
206;2007;848
206;2008;874
206;2009;885
206;2010;890
206;2011;899
206;2012;889
206;2013;925
206;2014;939
206;2015;929
207;2000;2169
207;2001;2200
207;2002;2191
207;2003;2235
207;2004;2269
207;2005;2284
207;2007;2401
207;2008;2342
207;2009;2346
207;2010;2361
207;2011;2337
207;2012;2363
207;2013;2433
207;2014;2445
207;2015;2483
207;2006;2330
208;2000;798
208;2001;785
208;2002;797
208;2003;794
208;2004;800
208;2005;801
208;2006;812
208;2007;798
208;2008;819
208;2009;800
208;2010;787
208;2011;795
208;2012;808
208;2013;796
208;2014;822
208;2015;822
301;2000;333
301;2001;324
301;2002;326
301;2003;326
301;2004;331
301;2005;331
301;2006;340
301;2007;336
301;2008;348
301;2009;350
301;2010;341
301;2011;344
301;2012;352
301;2013;343
301;2014;354
301;2015;347
302;2004;177
302;2005;180
302;2007;168
302;2008;151
302;2009;162
302;2010;147
302;2012;135
302;2013;131
302;2014;144
302;2015;144
302;2000;182
302;2001;176
302;2002;171
302;2003;185
302;2006;175
302;2011;149
