wbe;jahr;ant_verwitwet
091;2011;6.6
091;2012;6.2
091;2013;6.3
091;2014;5.8
091;2015;5.8
092;2000;10.7
092;2001;10.7
092;2002;10.7
092;2003;10.5
092;2004;10.7
092;2005;10.2
092;2006;10.1
092;2007;9.3
092;2008;9.6
092;2009;9.5
092;2010;8.8
092;2011;8.2
092;2012;8.0
092;2013;8.1
092;2014;7.6
092;2015;7.2
101;2000;6.2
101;2001;6.0
101;2002;5.7
101;2003;5.6
101;2004;5.6
101;2005;5.7
101;2006;5.5
101;2007;5.4
101;2008;5.2
101;2009;5.0
101;2010;4.7
101;2011;4.7
101;2012;4.7
101;2013;4.4
101;2014;4.4
101;2015;4.3
102;2000;10.6
102;2001;10.5
102;2002;10.0
102;2003;9.4
102;2004;9.1
102;2005;8.1
102;2006;8.1
102;2007;8.0
102;2008;7.9
102;2009;7.3
102;2010;7.1
102;2011;6.7
102;2012;6.3
102;2013;6.1
102;2014;5.6
102;2015;5.2
103;2000;8.8
103;2001;8.5
103;2002;8.5
103;2003;8.3
103;2004;8.2
103;2005;7.8
103;2006;7.5
103;2007;7.6
103;2008;7.0
103;2009;7.0
103;2010;6.5
103;2011;6.2
103;2012;6.2
103;2013;6.0
103;2014;6.0
103;2015;5.6
111;2000;7.0
111;2001;6.8
111;2002;6.3
111;2003;6.1
111;2004;5.9
111;2005;5.6
111;2006;5.6
111;2007;5.0
111;2008;4.8
111;2009;5.0
111;2010;4.7
111;2011;5.1
111;2012;5.5
111;2013;5.4
111;2014;5.3
111;2015;5.1
112;2000;7.6
112;2001;7.7
112;2002;7.7
112;2003;7.9
112;2004;7.4
112;2005;7.2
112;2006;7.3
112;2007;7.3
112;2008;7.0
112;2009;6.7
112;2010;6.9
112;2011;6.5
112;2012;6.3
112;2013;6.4
112;2014;6.4
112;2015;6.6
113;2000;4.3
113;2001;4.3
113;2002;4.0
113;2003;3.9
113;2004;3.8
113;2005;3.7
113;2006;3.5
113;2007;3.6
113;2008;3.6
113;2009;3.7
113;2010;3.7
113;2011;3.3
113;2012;3.4
113;2013;3.2
113;2014;3.3
113;2015;3.3
114;2000;3.5
114;2001;3.6
114;2002;3.2
114;2003;2.6
114;2004;2.9
114;2005;2.8
114;2006;2.7
114;2007;2.4
114;2008;2.2
114;2009;2.0
114;2010;1.9
114;2011;1.7
114;2012;1.4
114;2013;1.6
114;2014;1.4
114;2015;1.5
115;2000;9.6
115;2001;8.9
115;2002;9.0
115;2003;8.9
115;2004;9.1
115;2005;9.3
115;2006;8.8
115;2007;8.8
115;2008;8.6
115;2009;8.4
115;2010;8.1
115;2011;7.8
115;2012;7.6
115;2013;7.4
115;2014;8.1
115;2015;7.9
121;2000;8.3
121;2001;8.1
121;2002;7.9
121;2003;7.7
121;2004;7.2
121;2005;6.6
121;2006;7.1
121;2007;7.4
121;2008;7.2
121;2009;6.8
121;2010;6.7
121;2011;6.7
121;2012;5.8
121;2013;5.2
121;2014;5.0
121;2015;4.6
122;2000;8.4
122;2001;8.1
122;2002;8.8
122;2003;8.6
122;2004;8.5
122;2005;8.5
122;2006;7.9
122;2007;7.7
122;2008;7.6
122;2009;7.4
122;2010;6.9
122;2011;6.5
122;2012;6.3
122;2013;5.7
122;2014;5.8
122;2015;5.6
131;2000;6.3
131;2001;6.7
131;2002;6.3
131;2003;6.5
131;2004;6.2
131;2005;6.3
131;2006;6.0
131;2007;6.2
131;2008;6.0
131;2009;6.3
131;2010;6.3
131;2011;6.1
131;2012;5.3
131;2013;4.8
131;2014;4.3
131;2015;3.9
132;2000;9.3
132;2001;9.6
132;2002;9.3
132;2003;8.9
132;2004;8.5
132;2005;8.6
132;2006;7.9
132;2007;7.3
132;2008;7.6
132;2009;7.2
132;2010;7.2
132;2011;8.0
132;2012;7.8
132;2013;7.4
132;2014;7.1
132;2015;7.3
141;2000;8.5
141;2001;8.3
141;2002;7.5
141;2003;7.0
141;2004;7.0
141;2005;6.7
141;2006;6.1
141;2007;6.0
141;2008;5.7
141;2009;5.9
141;2010;6.0
141;2011;5.8
141;2012;5.5
141;2013;5.2
141;2014;5.2
141;2015;5.1
142;2000;10.1
142;2001;10.4
142;2002;9.6
142;2003;9.5
142;2004;8.8
142;2005;8.6
142;2006;8.8
142;2007;8.9
142;2008;8.7
142;2009;8.1
142;2010;7.7
142;2011;7.3
142;2012;7.0
142;2013;6.8
142;2014;6.2
142;2015;5.9
151;2000;9.9
151;2001;10.1
151;2002;9.7
151;2003;9.2
151;2004;9.3
151;2005;9.5
151;2006;9.3
151;2007;9.3
151;2008;9.3
151;2009;9.0
151;2010;9.1
151;2011;8.6
151;2012;8.2
151;2013;7.7
151;2014;7.0
151;2015;6.8
152;2000;11.1
152;2001;10.9
152;2002;11.4
152;2003;11.2
152;2004;10.4
152;2005;10.1
152;2006;10.2
152;2007;9.8
152;2008;9.6
152;2009;9.3
152;2010;8.8
152;2011;9.1
152;2012;8.5
152;2013;8.3
152;2014;7.6
152;2015;7.6
153;2000;10.0
153;2001;9.8
153;2002;10.1
153;2003;10.2
153;2004;10.4
153;2005;10.6
153;2006;10.4
153;2007;10.3
153;2008;9.9
153;2009;9.4
153;2010;9.2
153;2011;9.1
153;2012;9.1
153;2013;8.6
153;2014;8.6
153;2015;8.3
161;2000;6.4
161;2001;5.8
161;2002;5.4
161;2003;5.3
161;2004;5.0
161;2005;5.0
161;2006;4.9
161;2007;4.7
161;2008;4.2
161;2009;3.9
161;2010;3.9
161;2011;3.9
161;2012;3.8
161;2013;3.6
161;2014;3.4
161;2015;3.4
162;2000;1.0
162;2001;1.6
162;2002;1.5
162;2003;1.4
162;2004;1.5
162;2005;2.1
162;2006;2.0
162;2007;1.9
162;2008;1.8
162;2009;1.3
162;2010;0.6
162;2011;0.5
162;2012;0.8
162;2013;1.0
162;2014;1.0
162;2015;2.5
171;2000;5.2
171;2001;5.2
171;2002;4.9
171;2003;4.5
171;2004;4.4
171;2005;4.3
171;2006;4.5
171;2007;4.3
171;2008;4.3
171;2009;4.1
171;2010;3.7
171;2011;3.8
171;2012;3.3
171;2013;3.3
171;2014;3.1
171;2015;3.2
172;2000;5.6
172;2001;5.6
172;2002;5.2
172;2003;4.8
172;2004;4.7
172;2005;4.7
172;2006;4.5
172;2007;4.1
172;2008;3.9
172;2009;3.8
172;2010;3.7
172;2011;3.5
172;2012;3.3
172;2013;3.2
172;2014;3.3
172;2015;3.3
173;2000;3.3
173;2001;3.1
173;2002;2.8
173;2003;3.0
173;2004;3.0
173;2005;2.9
173;2006;2.8
173;2007;2.5
173;2008;2.5
173;2009;2.6
173;2010;2.6
173;2011;2.6
173;2012;2.6
173;2013;2.6
173;2014;2.3
173;2015;2.1
174;2000;4.3
174;2001;4.2
174;2002;3.8
174;2003;3.9
174;2004;3.9
174;2005;3.9
174;2006;3.9
174;2007;3.7
174;2008;3.9
174;2009;3.8
174;2010;3.9
174;2011;3.9
174;2012;3.8
174;2013;3.7
174;2014;3.6
174;2015;3.5
180;2000;6.2
180;2001;6.1
180;2002;5.9
180;2003;5.6
180;2004;5.3
180;2005;5.0
180;2006;4.9
180;2007;4.9
180;2008;4.7
180;2009;4.7
180;2010;4.7
