wbe;jahr;anzahl_g
153;2012;314
153;2013;313
153;2014;333
153;2015;341
161;2000;301
161;2001;321
161;2002;302
161;2003;314
161;2004;318
161;2005;326
161;2006;340
161;2007;352
161;2008;364
161;2009;379
161;2010;403
161;2011;388
161;2012;406
161;2013;409
161;2014;401
161;2015;404
162;2000;12
162;2001;11
162;2002;9
162;2003;11
162;2004;9
162;2005;7
162;2006;10
162;2007;9
162;2008;8
162;2009;22
162;2010;29
162;2011;30
162;2012;30
162;2013;35
162;2014;31
162;2015;73
171;2000;134
171;2001;124
171;2002;127
171;2003;125
171;2004;125
171;2005;131
171;2006;137
171;2007;135
171;2008;139
171;2009;134
171;2010;116
171;2011;120
171;2012;133
171;2013;127
171;2014;136
171;2015;138
172;2000;278
172;2001;274
172;2002;283
172;2003;286
172;2004;310
172;2005;317
172;2006;308
172;2007;319
172;2008;329
172;2009;324
172;2010;338
172;2011;338
172;2012;354
172;2013;359
172;2014;347
172;2015;343
173;2000;250
173;2001;239
173;2002;263
173;2003;256
173;2004;263
173;2005;294
173;2006;295
173;2007;307
173;2008;307
173;2009;296
173;2010;295
173;2011;310
173;2012;299
173;2013;305
173;2014;319
173;2015;331
174;2000;570
174;2001;573
174;2002;568
174;2003;580
174;2004;575
174;2005;597
174;2006;610
174;2007;643
174;2008;655
174;2009;664
174;2010;691
174;2011;710
174;2012;697
174;2013;716
174;2014;740
174;2015;734
180;2000;524
180;2001;535
180;2002;528
180;2003;559
180;2004;572
180;2005;568
180;2006;601
180;2007;613
180;2008;608
180;2009;642
180;2010;660
180;2011;704
180;2012;699
180;2013;721
180;2014;722
180;2015;745
190;2003;213
190;2004;221
190;2000;194
190;2001;192
190;2002;198
190;2005;222
190;2006;238
190;2007;245
190;2008;242
190;2009;256
190;2010;266
190;2011;268
190;2012;279
190;2013;286
190;2014;278
190;2015;275
201;2000;183
201;2001;190
201;2002;211
201;2003;226
201;2004;226
201;2005;241
201;2006;251
201;2007;246
201;2008;255
201;2009;255
201;2010;269
201;2011;271
201;2012;271
201;2013;275
201;2014;290
201;2015;299
202;2000;167
202;2001;181
202;2002;183
202;2003;192
202;2004;194
202;2005;208
202;2006;215
202;2007;224
202;2008;223
202;2009;240
202;2010;259
202;2011;260
202;2012;253
202;2013;257
202;2014;264
202;2015;263
203;2000;66
203;2001;57
203;2002;53
203;2003;56
203;2004;57
203;2005;61
203;2006;69
203;2007;74
203;2008;77
203;2009;76
203;2010;80
203;2011;82
203;2012;84
203;2013;85
203;2014;79
203;2015;91
204;2000;31
204;2001;35
204;2002;28
204;2003;32
204;2004;31
204;2005;31
204;2006;30
204;2007;33
204;2008;36
204;2009;40
204;2010;49
204;2011;46
204;2012;47
204;2013;45
204;2014;50
204;2015;51
205;2000;86
205;2001;82
205;2002;86
205;2003;90
205;2004;93
205;2005;98
205;2006;101
205;2007;110
205;2008;123
205;2009;120
205;2010;123
205;2011;130
205;2012;131
205;2013;136
205;2014;133
205;2015;136
206;2000;126
206;2001;135
206;2002;141
206;2003;133
206;2004;141
206;2005;134
206;2006;138
206;2007;142
206;2008;133
206;2009;136
206;2010;138
206;2011;138
206;2012;141
206;2013;147
206;2014;144
206;2015;145
207;2000;364
