wbe;jahr;anzahl_christkatholische
102;2005;10
102;2006;9
102;2007;8
102;2008;7
102;2009;6
102;2010;9
102;2011;19
102;2012;22
102;2013;16
102;2014;17
102;2015;13
103;2000;13
103;2001;13
103;2002;14
103;2003;13
103;2004;15
103;2005;13
103;2006;14
103;2007;17
103;2008;18
103;2009;18
103;2010;23
103;2011;29
103;2012;35
103;2013;39
103;2014;32
103;2015;34
111;2000;17
111;2001;19
111;2002;20
111;2003;17
111;2004;16
111;2005;16
111;2006;14
111;2007;13
111;2008;17
111;2009;20
111;2010;23
111;2011;23
111;2012;23
111;2013;26
111;2014;28
111;2015;25
112;2000;8
112;2001;7
112;2002;7
112;2003;7
112;2004;8
112;2005;9
112;2006;9
112;2007;7
112;2008;8
112;2009;8
112;2010;10
112;2011;13
112;2012;19
112;2013;15
112;2014;13
112;2015;15
113;2000;14
113;2001;17
113;2002;12
113;2003;13
113;2004;12
113;2005;14
113;2006;19
113;2007;18
113;2008;13
113;2009;12
113;2010;28
113;2011;40
113;2012;55
113;2013;36
113;2014;47
113;2015;37
114;2000;NaN
114;2001;NaN
114;2002;NaN
114;2003;NaN
114;2004;NaN
114;2005;NaN
114;2006;NaN
114;2007;NaN
114;2008;5
114;2009;8
114;2010;7
114;2011;15
114;2012;27
114;2013;14
114;2014;10
114;2015;8
115;2000;12
115;2001;11
115;2002;9
115;2003;12
115;2004;12
115;2005;12
115;2006;11
115;2007;11
115;2008;11
115;2009;14
115;2010;15
115;2011;19
115;2012;26
115;2013;31
115;2014;25
115;2015;22
121;2000;4
121;2001;NaN
121;2002;NaN
121;2003;5
121;2004;6
121;2005;5
121;2006;4
121;2007;4
121;2008;4
121;2009;4
121;2010;5
121;2011;11
121;2012;14
121;2013;16
121;2014;7
121;2015;8
122;2000;NaN
122;2001;NaN
122;2002;4
122;2003;NaN
122;2004;4
122;2005;4
122;2006;NaN
122;2007;NaN
122;2008;NaN
122;2009;NaN
122;2010;NaN
122;2011;4
122;2012;8
122;2013;8
122;2014;6
122;2015;6
131;2000;NaN
131;2001;NaN
131;2002;NaN
131;2003;NaN
131;2004;NaN
131;2005;NaN
131;2006;NaN
131;2007;NaN
131;2008;NaN
131;2009;NaN
131;2010;4
131;2011;NaN
131;2012;13
131;2013;10
131;2014;4
131;2015;5
132;2000;7
132;2001;10
132;2002;9
132;2003;9
132;2004;7
132;2005;8
132;2006;8
132;2007;8
132;2008;NaN
132;2009;NaN
132;2010;9
132;2011;20
132;2012;23
132;2013;22
132;2014;12
132;2015;10
141;2000;17
141;2001;14
141;2002;14
141;2003;12
141;2004;14
141;2005;12
141;2006;10
141;2007;9
141;2008;9
141;2009;10
141;2010;14
141;2011;16
141;2012;23
141;2013;18
141;2014;14
141;2015;12
142;2000;5
142;2001;5
142;2002;6
142;2003;8
142;2004;5
142;2005;6
142;2006;5
142;2007;6
142;2008;6
142;2009;NaN
142;2010;4
142;2011;10
142;2012;6
142;2013;8
142;2014;12
142;2015;13
151;2000;NaN
151;2001;6
151;2002;5
151;2003;5
151;2004;6
151;2005;5
151;2006;4
151;2007;5
151;2008;6
151;2009;8
151;2010;6
151;2011;7
151;2012;14
151;2013;5
151;2014;6
151;2015;6
152;2000;7
152;2001;6
152;2002;6
152;2003;12
152;2004;15
152;2005;18
152;2006;19
152;2007;11
152;2008;13
152;2009;15
152;2010;16
152;2011;15
152;2012;15
152;2013;16
152;2014;19
152;2015;17
153;2000;NaN
153;2001;NaN
153;2002;NaN
153;2003;NaN
153;2004;4
153;2005;4
153;2006;6
153;2007;5
153;2008;4
153;2009;NaN
153;2010;NaN
153;2011;4
153;2012;NaN
153;2013;5
153;2014;6
153;2015;7
161;2000;NaN
161;2001;5
161;2002;8
161;2003;6
161;2004;8
161;2005;8
161;2006;8
161;2007;4
161;2008;5
161;2009;6
161;2010;11
161;2011;20
161;2012;30
161;2013;17
161;2014;23
161;2015;29
162;2000;NaN
162;2001;NaN
162;2002;NaN
162;2003;NaN
162;2004;NaN
162;2005;NaN
162;2006;NaN
162;2007;NaN
162;2008;NaN
162;2009;NaN
162;2010;NaN
162;2011;NaN
162;2012;5
162;2013;NaN
162;2014;NaN
162;2015;6
171;2000;NaN
171;2001;NaN
171;2002;NaN
171;2003;NaN
171;2004;NaN
171;2005;NaN
171;2006;NaN
171;2007;NaN
