wbe;jahr;ant_ledig
083;2009;41.3
083;2010;41.7
083;2011;41.4
083;2012;42.5
083;2013;43.9
083;2014;44.6
083;2015;44.7
084;2000;42.6
084;2001;42.5
084;2002;43.5
084;2003;43.8
084;2004;43.9
084;2005;44.3
084;2006;45.3
084;2007;45.7
084;2008;46.0
084;2009;46.5
084;2010;46.2
084;2011;46.5
084;2012;46.9
084;2013;46.9
084;2014;48.7
084;2015;48.2
085;2000;38.9
085;2001;39.2
085;2002;39.4
085;2003;39.5
085;2004;40.5
085;2005;40.5
085;2006;41.5
085;2007;42.0
085;2008;42.1
085;2009;42.8
085;2010;42.6
085;2011;43.0
085;2012;43.7
085;2013;43.6
085;2014;43.9
085;2015;44.3
091;2000;46.4
091;2001;47.0
091;2002;47.8
091;2003;48.2
091;2004;48.7
091;2005;49.1
091;2006;48.9
091;2007;49.3
091;2008;50.2
091;2009;50.2
091;2010;50.0
091;2011;50.2
091;2012;49.8
091;2013;50.1
091;2014;50.3
091;2015;51.1
092;2000;35.4
092;2001;35.4
092;2002;35.3
092;2003;36.0
092;2004;36.4
092;2005;38.3
092;2006;39.1
092;2007;39.4
092;2008;39.6
092;2009;39.5
092;2010;40.3
092;2011;41.7
092;2012;41.8
092;2013;42.1
092;2014;42.9
092;2015;43.1
101;2000;46.0
101;2001;46.7
101;2002;47.3
101;2003;48.3
101;2004;48.4
101;2005;48.2
101;2006;49.1
101;2007;49.6
101;2008;50.5
101;2009;50.7
101;2010;51.2
101;2011;51.6
101;2012;52.1
101;2013;52.5
101;2014;53.1
101;2015;53.2
102;2000;41.5
102;2001;42.5
102;2002;42.7
102;2003;43.8
102;2004;43.7
102;2005;43.5
102;2006;43.8
102;2007;44.5
102;2008;45.5
102;2009;46.8
102;2010;47.6
102;2011;48.9
102;2012;49.6
102;2013;49.8
102;2014;50.2
102;2015;51.6
103;2000;37.4
103;2001;38.5
103;2002;39.0
103;2003;39.0
103;2004;38.8
103;2005;39.2
103;2006;39.2
103;2007;40.2
103;2008;41.1
103;2009;41.6
103;2010;42.7
103;2011;43.0
103;2012;43.5
103;2013;44.2
103;2014;45.1
103;2015;46.0
111;2000;49.2
111;2001;49.9
111;2002;51.3
111;2003;51.8
111;2004;52.4
111;2005;51.9
111;2006;53.2
111;2007;54.0
111;2008;54.7
111;2009;54.0
111;2010;54.9
111;2011;54.6
111;2012;54.7
111;2013;55.6
111;2014;55.5
111;2015;55.1
112;2000;44.2
112;2001;44.4
112;2002;45.1
112;2003;44.7
112;2004;46.0
112;2005;46.4
112;2006;45.9
112;2007;47.0
112;2008;48.0
112;2009;49.1
112;2010;49.7
112;2011;50.1
112;2012;49.6
112;2013;49.6
112;2014;50.0
112;2015;50.3
113;2000;47.6
113;2001;48.2
113;2002;48.8
113;2003;48.4
113;2004;49.0
113;2005;49.6
113;2006;50.4
113;2007;50.1
113;2008;50.4
113;2009;51.0
113;2010;51.8
113;2011;52.1
113;2012;52.2
113;2013;52.2
113;2014;52.8
113;2015;53.3
114;2000;47.5
114;2001;47.8
114;2002;49.8
114;2003;50.6
114;2004;50.3
114;2005;49.8
114;2006;49.4
114;2007;50.8
114;2008;51.7
114;2009;52.5
114;2010;51.8
114;2011;52.2
114;2012;52.7
114;2013;52.0
114;2014;52.7
114;2015;52.0
115;2000;38.6
115;2001;39.0
115;2002;38.3
115;2003;38.2
115;2004;38.9
115;2005;38.8
115;2006;39.0
115;2007;38.4
115;2008;39.5
115;2009;40.1
115;2010;40.3
115;2011;41.3
115;2012;42.1
115;2013;42.3
115;2014;42.2
115;2015;42.9
121;2000;47.8
121;2001;49.2
121;2002;48.5
121;2003;49.0
121;2004;48.2
121;2005;48.2
121;2006;49.1
121;2007;49.2
121;2008;51.7
121;2009;52.6
121;2010;53.1
121;2011;54.7
121;2012;55.3
121;2013;56.3
121;2014;56.3
121;2015;56.8
122;2000;37.7
122;2001;38.5
122;2002;39.2
122;2003;39.1
122;2004;41.8
122;2005;43.1
122;2006;43.5
122;2007;42.7
122;2008;44.4
122;2009;44.0
122;2010;44.7
122;2011;45.6
122;2012;45.0
122;2013;47.7
122;2014;50.2
122;2015;52.6
131;2000;43.1
131;2001;41.5
131;2002;42.4
131;2003;42.3
131;2004;42.7
131;2005;42.4
131;2006;41.4
131;2007;44.1
131;2008;46.5
131;2009;46.0
131;2010;44.9
131;2011;45.9
131;2012;45.2
131;2013;45.8
131;2014;47.6
131;2015;50.7
132;2000;41.3
132;2001;41.0
132;2002;41.7
132;2003;42.0
132;2004;43.0
132;2005;43.7
132;2006;43.4
132;2007;44.3
132;2008;44.8
132;2009;44.5
132;2010;44.6
