wbe;jahr;bev_dichte
121;2000;99.4
121;2001;99.5
121;2002;100.6
121;2003;97.6
121;2004;99.0
121;2005;96.4
121;2006;95.2
121;2007;93.4
121;2008;92.4
121;2009;94.7
121;2010;92.4
121;2011;91.3
121;2012;92.6
121;2013;95.9
121;2014;96.8
122;2000;87.0
122;2001;86.3
122;2002;87.1
122;2003;85.3
122;2004;84.4
122;2005;82.4
122;2006;83.6
122;2007;82.8
122;2008;84.4
122;2009;87.8
122;2010;89.7
122;2011;92.0
122;2012;91.6
122;2013;96.1
122;2014;101.4
131;2000;107.7
131;2001;109.4
131;2002;110.5
131;2003;113.0
131;2004;110.2
131;2005;109.0
131;2006;108.4
131;2007;110.8
131;2008;109.9
131;2009;114.3
131;2010;111.3
131;2011;111.8
131;2012;113.5
131;2013;116.9
131;2014;114.5
132;2000;194.1
132;2001;192.7
132;2002;191.7
132;2003;190.9
132;2004;192.9
132;2005;190.5
132;2006;192.0
132;2007;197.4
132;2008;204.6
132;2009;203.8
132;2010;203.6
132;2011;204.2
132;2012;208.7
132;2013;209.5
132;2014;208.1
141;2000;103.9
141;2001;103.4
141;2002;106.2
141;2003;110.2
141;2004;112.4
141;2005;111.9
141;2006;112.5
141;2007;112.8
141;2008;113.2
141;2009;113.8
141;2010;113.4
141;2011;113.3
141;2012;114.0
141;2013;112.7
141;2014;120.3
142;2000;50.5
142;2001;49.7
142;2002;50.4
142;2003;49.7
142;2004;49.8
142;2005;50.2
142;2006;48.8
142;2007;48.1
142;2008;48.3
142;2009;49.3
142;2010;47.9
142;2011;47.5
142;2012;47.3
142;2013;47.9
142;2014;48.5
151;2000;17.5
151;2001;17.2
151;2002;17.4
151;2003;17.4
151;2004;17.1
151;2005;17.4
151;2006;17.5
151;2007;17.1
151;2008;16.7
151;2009;17.0
151;2010;16.6
151;2011;17.4
151;2012;17.3
151;2013;18.0
151;2014;18.7
152;2000;46.4
152;2001;45.8
152;2002;45.5
152;2003;44.6
152;2004;45.0
152;2005;44.9
152;2006;44.4
152;2007;44.6
152;2008;44.5
152;2009;44.1
152;2010;44.3
152;2011;45.1
152;2012;44.8
152;2013;44.4
152;2014;44.7
153;2000;38.4
153;2001;38.7
153;2002;38.2
153;2003;37.5
153;2004;36.6
153;2005;35.3
153;2006;33.7
153;2007;33.0
153;2008;34.2
153;2009;34.9
153;2010;35.0
153;2011;35.0
153;2012;34.7
153;2013;34.7
153;2014;35.4
161;2009;126.1
161;2010;124.4
161;2011;122.5
161;2012;125.2
161;2013;128.2
161;2014;127.5
162;2009;15.2
162;2010;20.2
162;2011;23.2
162;2012;23.9
162;2013;23.9
162;2014;23.3
171;2000;176.3
171;2001;174.4
171;2002;172.7
171;2003;174.7
171;2004;177.0
171;2005;178.1
171;2006;180.9
171;2007;175.1
171;2008;184.1
171;2009;182.0
171;2010;179.1
171;2011;178.1
171;2012;185.8
171;2013;184.6
171;2014;188.7
172;2000;210.7
172;2001;199.4
172;2002;199.7
172;2003;201.7
172;2004;206.3
172;2005;201.8
172;2006;196.6
172;2007;198.3
172;2008;204.1
172;2009;202.6
172;2010;202.3
172;2011;205.3
172;2012;207.5
172;2013;212.1
172;2014;210.9
173;2000;330.3
173;2001;327.3
173;2002;343.3
173;2003;345.2
173;2004;346.4
173;2005;343.2
173;2006;345.1
173;2007;352.1
173;2008;356.1
173;2009;350.9
173;2010;344.2
173;2011;349.0
173;2012;343.7
173;2013;348.1
173;2014;346.3
174;2000;283.5
174;2001;287.8
174;2002;292.5
174;2003;295.8
174;2004;296.9
174;2005;298.3
174;2006;298.9
174;2007;299.9
174;2008;302.4
174;2009;298.7
174;2010;301.9
174;2011;306.3
174;2012;303.8
174;2013;310.1
174;2014;311.7
180;2000;77.6
180;2001;76.8
180;2002;76.9
180;2003;77.2
180;2004;76.8
180;2005;76.9
180;2006;78.1
180;2007;77.0
180;2008;78.1
180;2009;79.3
180;2010;78.4
180;2011;79.5
180;2012;79.7
180;2013;80.0
180;2014;80.6
190;2000;17.5
190;2001;17.5
190;2002;18.2
190;2003;18.5
190;2004;18.3
190;2005;18.9
190;2006;18.9
190;2007;18.8
190;2008;18.9
190;2009;19.5
190;2010;19.4
190;2011;19.9
190;2012;21.3
190;2013;21.3
190;2014;21.3
201;2000;26.7
201;2001;27.7
201;2002;28.0
201;2003;28.2
201;2004;27.9
201;2005;27.3
201;2006;27.2
201;2007;27.2
201;2008;27.6
201;2009;27.8
201;2010;28.1
201;2011;28.1
201;2012;28.1
201;2013;27.7
201;2014;27.6
202;2000;24.2
202;2001;24.9
202;2002;24.5
202;2003;24.6
202;2004;24.4
202;2005;24.6
202;2006;25.0
202;2007;24.8
202;2008;24.3
202;2009;24.8
202;2010;24.8
202;2011;24.7
202;2012;24.5
202;2013;24.7
202;2014;25.2
203;2000;9.7
203;2001;9.4
203;2002;9.1
203;2003;9.1
203;2004;9.2
203;2005;9.0
203;2006;9.3
203;2007;9.5
203;2008;9.5
203;2009;9.5
203;2010;9.8
203;2011;9.8
203;2012;10.2
203;2013;10.2
203;2014;10.1
204;2000;5.5
204;2001;5.6
204;2002;5.6
204;2003;5.5
204;2004;5.4
204;2005;5.2
204;2006;5.1
204;2007;5.3
204;2008;5.2
204;2009;5.2
204;2010;5.3
204;2011;5.4
204;2012;5.4
204;2013;5.4
204;2014;5.4
205;2000;11.6
205;2001;11.7
205;2002;11.8
205;2003;11.7
205;2004;11.5
205;2005;11.5
205;2006;11.6
205;2007;11.5
205;2008;11.5
205;2009;11.5
205;2010;11.9
205;2011;11.9
205;2012;11.8
205;2013;12.0
205;2014;11.7
206;2000;25.5
206;2001;25.3
206;2002;25.8
206;2003;25.4
206;2004;25.6
206;2005;25.2
206;2006;24.9
206;2007;25.0
206;2008;25.2
206;2009;25.4
206;2010;25.6
206;2011;25.8
206;2012;25.6
206;2013;26.0
206;2014;26.3
207;2000;38.6
207;2001;38.7
207;2002;38.3
207;2003;38.4
207;2004;38.5
207;2005;38.3
207;2006;38.5
207;2007;38.7
207;2008;38.3
207;2009;37.7
207;2010;38.1
207;2011;37.8
207;2012;38.2
207;2013;38.8
207;2014;38.8
208;2000;16.8
208;2001;16.7
208;2002;16.9
208;2003;17.1
208;2004;17.1
208;2005;17.2
208;2006;17.2
208;2007;17.0
208;2008;17.5
208;2009;17.2
208;2010;17.1
208;2011;17.1
208;2012;17.3
208;2013;17.1
208;2014;17.1
301;2000;6.7
301;2001;6.6
301;2002;6.7
301;2003;6.7
301;2004;6.8
301;2005;6.7
301;2006;6.8
301;2007;6.7
301;2008;6.8
301;2009;6.8
301;2010;6.8
301;2011;6.9
301;2012;7.0
301;2013;7.0
301;2014;7.2
302;2000;3.0
302;2001;3.0
302;2002;3.0
302;2003;3.2
302;2004;3.1
302;2005;3.2
302;2006;3.1
302;2007;3.0
302;2008;2.8
302;2009;3.0
302;2010;2.7
302;2011;2.7
302;2012;2.7
302;2013;2.7
302;2014;2.8
161;2000;112.8
161;2001;113.6
161;2002;117.8
161;2003;118.5
161;2004;120.3
161;2005;120.5
161;2006;123.3
161;2007;124.5
161;2008;127.0
162;2000;3.7
162;2001;4.9
162;2002;5.2
162;2003;5.7
162;2004;5.1
162;2005;5.6
162;2006;5.7
162;2007;5.9
162;2008;6.5
011;2015;25.2
012;2015;30.1
013;2015;114.2
014;2015;98.7
021;2015;53.5
022;2015;133.9
023;2015;63.7
024;2015;28.8
025;2015;67.6
026;2015;43.3
031;2015;115.3
032;2015;138.7
033;2015;114.0
034;2015;34.2
041;2015;165.6
042;2015;108.4
051;2015;11.6
052;2015;47.5
053;2015;68.7
054;2015;49.8
055;2015;8.1
061;2015;107.1
062;2015;196.8
063;2015;244.5
071;2015;58.9
072;2015;33.3
073;2015;4.2
081;2015;65.4
082;2015;86.1
083;2015;135.6
084;2015;51.0
085;2015;115.0
091;2015;200.2
092;2015;77.0
101;2015;217.4
102;2015;158.2
103;2015;110.1
111;2015;193.9
112;2015;189.5
113;2015;295.3
114;2015;28.2
115;2015;39.3
121;2015;97.3
122;2015;99.6
131;2015;117.8
132;2015;203.7
141;2015;121.0
142;2015;48.4
151;2015;19.1
152;2015;44.1
153;2015;35.9
161;2015;127.0
162;2015;56.1
171;2015;188.0
172;2015;212.4
173;2015;346.1
174;2015;305.8
180;2015;79.8
190;2015;21.4
201;2015;27.6
202;2015;25.3
203;2015;10.1
204;2015;5.2
205;2015;11.6
206;2015;25.9
207;2015;38.7
208;2015;17.3
301;2015;7.0
302;2015;2.7
