wbe;jahr;anzahl_al
161;2004;2288
161;2005;2308
161;2006;2402
161;2007;2420
161;2008;2533
161;2009;2483
161;2010;2452
161;2011;2453
161;2012;2449
161;2013;2523
161;2014;2506
161;2015;2515
162;2000;50
162;2001;80
162;2002;84
162;2003;91
162;2004;88
162;2005;98
162;2006;88
162;2007;83
162;2008;87
162;2009;218
162;2010;312
162;2011;377
162;2012;428
162;2013;427
162;2014;398
162;2015;876
171;2000;430
171;2001;450
171;2002;455
171;2003;471
171;2004;499
171;2005;521
171;2006;539
171;2007;528
171;2008;582
171;2009;588
171;2010;587
171;2011;599
171;2012;616
171;2013;618
171;2014;647
171;2015;621
172;2000;1530
172;2001;1388
172;2002;1447
172;2003;1474
172;2004;1520
172;2005;1471
172;2006;1438
172;2007;1463
172;2008;1513
172;2009;1543
172;2010;1544
172;2011;1604
172;2012;1684
172;2013;1709
172;2014;1703
172;2015;1710
173;2000;1542
173;2001;1513
173;2002;1586
173;2003;1596
173;2004;1622
173;2005;1582
173;2006;1644
173;2007;1635
173;2008;1674
173;2009;1646
173;2010;1605
173;2011;1671
173;2012;1629
173;2013;1643
173;2014;1639
173;2015;1615
174;2000;3922
174;2001;4007
174;2002;4176
174;2003;4188
174;2004;4159
174;2005;4165
174;2006;4201
174;2007;4150
174;2008;4184
174;2009;4136
174;2010;4154
174;2011;4232
174;2012;4139
174;2013;4273
174;2014;4336
174;2015;4204
180;2000;3470
180;2001;3411
180;2002;3471
180;2003;3532
180;2004;3498
180;2005;3556
180;2006;3603
180;2007;3451
180;2008;3430
180;2009;3545
180;2010;3485
180;2011;3629
180;2012;3707
180;2013;3695
180;2014;3781
180;2015;3770
190;2000;943
190;2001;964
190;2002;1076
190;2003;1096
190;2004;1075
190;2005;1158
190;2006;1180
190;2007;1111
190;2008;1089
190;2009;1196
190;2010;1148
190;2011;1207
190;2012;1310
190;2013;1316
190;2014;1314
190;2015;1345
201;2000;495
201;2001;546
201;2002;549
201;2003;587
201;2004;607
201;2005;615
201;2006;641
201;2007;682
201;2008;722
201;2009;754
201;2010;827
201;2011;844
201;2012;826
201;2013;814
201;2014;823
201;2015;832
202;2000;404
202;2001;472
202;2002;500
202;2003;504
202;2004;516
202;2005;553
202;2006;593
202;2007;596
202;2008;580
202;2009;605
202;2010;618
202;2011;636
202;2012;639
202;2013;698
202;2014;742
202;2015;761
203;2000;135
203;2001;135
203;2002;164
203;2003;170
203;2004;182
203;2005;187
203;2006;203
203;2007;230
203;2008;237
203;2009;254
203;2010;277
203;2011;287
203;2012;339
203;2013;339
203;2014;350
203;2015;369
204;2000;118
204;2001;153
204;2002;163
204;2003;149
204;2004;141
204;2005;131
204;2006;129
204;2007;142
204;2008;144
204;2009;134
204;2010;155
204;2011;168
204;2012;185
204;2013;191
204;2014;190
204;2015;192
205;2000;291
205;2001;325
205;2002;350
205;2003;344
205;2004;351
205;2005;330
205;2006;352
205;2007;359
205;2008;373
205;2009;384
205;2010;469
205;2011;469
205;2012;464
205;2013;474
205;2014;467
205;2015;493
206;2000;165
206;2001;193
206;2002;219
206;2003;233
206;2004;243
206;2005;262
206;2006;262
206;2007;286
206;2008;309
206;2009;330
206;2010;354
206;2011;383
206;2012;396
206;2013;450
206;2014;468
206;2015;485
207;2000;731
207;2001;776
207;2002;756
207;2003;809
207;2004;873
207;2005;868
207;2006;933
207;2007;965
