wbe;jahr;anteil_al
103;2009;33.3
103;2010;34.2
103;2011;36.1
103;2012;36.4
103;2013;36.7
103;2014;36.8
103;2015;37.9
111;2000;33.5
111;2001;33.6
111;2002;34.1
111;2003;33.7
111;2004;33.8
111;2005;34.8
111;2006;36.4
111;2007;36.5
111;2008;37.2
111;2009;38.0
111;2010;37.6
111;2011;37.0
111;2012;37.0
111;2013;38.9
111;2014;39.2
111;2015;38.8
112;2000;29.8
112;2001;28.8
112;2002;29.7
112;2003;29.2
112;2004;29.3
112;2005;30.3
112;2006;30.5
112;2007;31.0
112;2008;31.4
112;2009;32.2
112;2010;32.0
112;2011;33.5
112;2012;34.6
112;2013;34.5
112;2014;34.9
112;2015;34.7
113;2000;50.2
113;2001;50.3
113;2002;50.9
113;2003;51.8
113;2004;51.7
113;2005;51.1
113;2006;51.0
113;2007;49.2
113;2008;49.3
113;2009;50.0
113;2010;49.5
113;2011;49.8
113;2012;49.4
113;2013;50.0
113;2014;49.6
113;2015;49.1
114;2000;62.8
114;2001;61.0
114;2002;60.8
114;2003;58.0
114;2004;57.6
114;2005;57.0
114;2006;57.3
114;2007;56.0
114;2008;53.1
114;2009;54.4
114;2010;53.6
114;2011;55.3
114;2012;56.8
114;2013;57.4
114;2014;56.3
114;2015;56.9
115;2000;26.8
115;2001;28.5
115;2002;30.1
115;2003;30.2
115;2004;30.5
115;2005;30.9
115;2006;31.7
115;2007;31.6
115;2008;32.1
115;2009;32.5
115;2010;33.2
115;2011;33.7
115;2012;35.0
115;2013;36.0
115;2014;36.5
115;2015;35.6
121;2000;22.9
121;2001;23.1
121;2002;24.5
121;2003;24.6
121;2004;26.2
121;2005;26.4
121;2006;27.0
121;2007;26.8
121;2008;27.7
121;2009;30.3
121;2010;29.0
121;2011;28.3
121;2012;30.5
121;2013;33.3
121;2014;33.3
121;2015;33.6
122;2000;27.8
122;2001;28.8
122;2002;28.0
122;2003;28.9
122;2004;28.2
122;2005;28.0
122;2006;30.3
122;2007;33.3
122;2008;32.4
122;2009;32.3
122;2010;35.3
122;2011;34.9
122;2012;34.6
122;2013;36.8
122;2014;39.4
122;2015;39.3
131;2000;36.0
131;2001;35.8
131;2002;38.7
131;2003;38.3
131;2004;37.3
131;2005;39.0
131;2006;40.1
131;2007;38.9
131;2008;40.4
131;2009;42.7
131;2010;41.2
131;2011;41.9
131;2012;43.0
131;2013;44.8
131;2014;45.1
131;2015;44.8
132;2000;43.9
132;2001;43.5
132;2002;43.5
132;2003;44.6
132;2004;44.4
132;2005;44.8
132;2006;45.7
132;2007;44.7
132;2008;45.4
132;2009;46.0
132;2010;46.0
132;2011;45.6
132;2012;46.6
132;2013;46.9
132;2014;47.1
132;2015;47.1
141;2000;19.9
141;2001;21.0
141;2002;21.8
141;2003;21.6
141;2004;22.8
141;2005;23.0
141;2006;24.1
141;2007;24.6
141;2008;25.7
141;2009;26.6
141;2010;26.0
141;2011;26.6
141;2012;28.1
141;2013;28.1
141;2014;30.5
141;2015;32.5
142;2000;19.3
142;2001;20.1
142;2002;21.8
142;2003;22.2
142;2004;22.6
142;2005;23.5
142;2006;24.3
142;2007;23.5
142;2008;24.5
142;2009;26.3
142;2010;26.1
142;2011;26.1
142;2012;26.9
142;2013;27.8
142;2014;28.2
142;2015;28.8
151;2000;23.0
151;2001;21.7
151;2002;22.0
151;2003;22.5
151;2004;21.9
151;2005;22.9
151;2006;23.9
151;2007;22.4
151;2008;23.6
151;2009;24.8
151;2010;25.4
151;2011;26.9
151;2012;28.3
151;2013;28.8
151;2014;31.8
151;2015;30.7
152;2000;10.0
152;2001;10.1
152;2002;10.3
152;2003;10.4
152;2004;10.8
152;2005;11.3
152;2006;11.4
152;2007;12.7
152;2008;12.4
152;2009;11.9
152;2010;12.1
152;2011;12.8
152;2012;13.3
152;2013;13.9
152;2014;15.5
152;2015;15.3
153;2000;18.5
153;2001;19.3
153;2002;18.9
153;2003;19.0
153;2004;18.4
153;2005;18.0
153;2006;17.6
153;2007;18.0
153;2008;18.8
153;2009;19.1
153;2010;18.2
153;2011;18.5
153;2012;19.0
153;2013;19.4
153;2014;19.8
153;2015;19.6
161;2000;49.6
161;2001;49.1
161;2002;51.5
161;2003;50.6
161;2004;51.3
161;2005;51.6
161;2006;52.5
161;2007;52.4
161;2008;53.7
161;2009;53.1
161;2010;53.1
161;2011;54.0
161;2012;52.7
161;2013;53.0
161;2014;53.0
161;2015;53.4
162;2000;51.5
162;2001;62.0
162;2002;61.8
162;2003;61.5
162;2004;65.7
162;2005;67.6
162;2006;59.5
162;2007;53.5
162;2008;51.2
162;2009;54.9
162;2010;59.3
162;2011;62.2
162;2012;68.5
162;2013;68.3
162;2014;65.5
162;2015;59.9
171;2000;30.9
171;2001;32.7
171;2002;33.4
171;2003;34.1
171;2004;35.7
171;2005;37.0
171;2006;37.7
171;2007;38.2
171;2008;40.0
171;2009;40.9
171;2010;41.5
171;2011;42.6
171;2012;42.0
171;2013;42.4
171;2014;43.4
171;2015;41.8
172;2000;41.5
172;2001;39.8
172;2002;41.4
172;2003;41.8
172;2004;42.1
172;2005;41.7
172;2006;41.8
172;2007;42.1
172;2008;42.4
172;2009;43.5
172;2010;43.6
172;2011;44.6
172;2012;46.4
172;2013;46.1
172;2014;46.2
172;2015;46.0
173;2000;51.9
173;2001;51.4
173;2002;51.3
173;2003;51.4
173;2004;52.0
173;2005;51.2
173;2006;52.9
173;2007;51.6
173;2008;52.2
173;2009;52.1
173;2010;51.8
173;2011;53.2
173;2012;52.7
173;2013;52.4
173;2014;52.6
173;2015;51.8
174;2000;54.9
174;2001;55.3
174;2002;56.6
174;2003;56.2
174;2004;55.6
174;2005;55.4
174;2006;55.8
174;2007;54.9
174;2008;54.9
174;2009;54.9
174;2010;54.6
174;2011;54.8
174;2012;54.1
174;2013;54.7
174;2014;55.2
174;2015;54.5
180;2000;49.1
180;2001;48.7
180;2002;49.5
180;2003;50.2
180;2004;50.0
180;2005;50.7
180;2006;50.6
180;2007;49.1
180;2008;48.1
180;2009;49.0
180;2010;48.7
180;2011;50.0
180;2012;51.0
180;2013;50.7
180;2014;51.5
180;2015;51.8
190;2000;39.9
190;2001;40.8
190;2002;43.6
190;2003;43.8
190;2004;43.3
190;2005;45.2
190;2006;46.1
190;2007;43.7
190;2008;42.7
190;2009;45.3
190;2010;43.8
190;2011;44.7
190;2012;45.5
190;2013;45.7
190;2014;45.7
190;2015;46.4
201;2000;15.2
201;2001;16.2
201;2002;16.1
201;2003;17.1
201;2004;17.9
201;2005;18.6
201;2006;19.4
201;2007;20.7
201;2008;21.5
201;2009;22.4
201;2010;24.3
201;2011;24.7
201;2012;24.2
201;2013;24.2
201;2014;24.6
201;2015;24.8
202;2000;18.0
202;2001;20.4
