wbe;jahr;anteil_20bis64
141;2008;67.4
141;2009;67.8
141;2010;67.3
141;2011;67.0
141;2012;66.8
141;2013;66.4
141;2014;66.5
141;2015;65.9
142;2000;57.6
142;2001;58.1
142;2002;59.0
142;2003;59.2
142;2004;59.8
142;2005;60.2
142;2006;60.3
142;2007;61.2
142;2008;61.9
142;2009;62.8
142;2010;63.3
142;2011;64.1
142;2012;63.6
142;2013;64.5
142;2014;65.2
142;2015;65.1
151;2000;55.6
151;2001;54.9
151;2002;55.5
151;2003;55.8
151;2004;55.7
151;2005;55.3
151;2006;55.8
151;2007;54.8
151;2008;54.0
151;2009;54.3
151;2010;54.6
151;2011;55.3
151;2012;56.1
151;2013;57.2
151;2014;58.1
151;2015;57.5
152;2000;55.3
152;2001;54.5
152;2002;54.1
152;2003;53.8
152;2004;55.1
152;2005;55.1
152;2006;55.7
152;2007;55.6
152;2008;55.5
152;2009;54.9
152;2010;54.7
152;2011;54.2
152;2012;54.3
152;2013;54.8
152;2014;54.1
152;2015;54.9
153;2000;51.3
153;2001;52.1
153;2002;52.8
153;2003;52.5
153;2004;52.2
153;2005;52.2
153;2006;52.8
153;2007;52.4
153;2008;53.9
153;2009;55.6
153;2010;55.1
153;2011;55.5
153;2012;54.9
153;2013;54.4
153;2014;54.8
153;2015;55.3
161;2000;66.7
161;2001;66.9
161;2002;66.8
161;2003;67.7
161;2004;68.4
161;2005;68.9
161;2006;69.3
161;2007;70.0
161;2008;70.6
161;2009;70.1
161;2010;69.9
161;2011;69.6
161;2012;70.0
161;2013;70.9
161;2014;71.6
161;2015;71.6
162;2000;75.3
162;2001;71.3
162;2002;70.6
162;2003;71.6
162;2004;73.1
162;2005;74.5
162;2006;74.3
162;2007;72.9
162;2008;75.3
162;2009;76.8
162;2010;76.8
162;2011;75.6
162;2012;72.8
162;2013;72.6
162;2014;73.5
162;2015;75.5
171;2000;70.1
171;2001;70.0
171;2002;71.0
171;2003;70.8
171;2004;72.3
171;2005;72.4
171;2006;74.0
171;2007;74.1
171;2008;75.0
171;2009;74.5
171;2010;74.3
171;2011;75.1
171;2012;74.7
171;2013;75.1
171;2014;75.6
171;2015;74.3
172;2000;69.8
172;2001;69.4
172;2002;69.1
172;2003;69.2
172;2004;70.0
172;2005;70.8
172;2006;70.7
172;2007;71.6
172;2008;71.3
172;2009;71.6
172;2010;71.3
172;2011;72.5
172;2012;72.5
172;2013;72.5
172;2014;72.2
172;2015;72.1
173;2000;70.5
173;2001;72.2
173;2002;72.7
173;2003;73.4
173;2004;73.7
173;2005;74.4
173;2006;74.8
173;2007;74.4
173;2008;74.8
173;2009;74.6
173;2010;74.6
173;2011;73.9
173;2012;73.8
173;2013;74.4
173;2014;74.2
173;2015;74.2
174;2000;67.2
174;2001;67.5
174;2002;68.4
174;2003;68.3
174;2004;68.4
174;2005;69.0
174;2006;69.3
174;2007;70.2
174;2008;70.7
174;2009;71.2
174;2010;70.2
174;2011;70.6
174;2012;70.4
174;2013;70.7
174;2014;70.4
174;2015;69.9
180;2000;63.8
180;2001;63.9
180;2002;64.7
180;2003;64.9
180;2004;65.4
180;2005;65.6
180;2006;65.3
180;2007;65.8
180;2008;66.0
180;2009;66.4
180;2010;66.7
180;2011;66.7
180;2012;66.9
180;2013;66.8
180;2014;67.4
180;2015;67.6
190;2000;61.7
190;2001;61.9
190;2002;62.0
190;2003;62.2
190;2004;63.2
190;2005;63.7
190;2006;63.7
190;2007;63.3
190;2008;63.3
190;2009;63.6
190;2010;62.8
190;2011;62.6
190;2012;63.3
190;2013;63.0
190;2014;63.1
190;2015;62.7
201;2000;55.8
201;2001;56.4
201;2002;56.2
201;2003;55.7
201;2004;54.7
201;2005;54.4
201;2006;53.7
201;2007;52.5
201;2008;52.1
201;2009;51.9
201;2010;53.1
201;2011;53.0
201;2012;52.8
201;2013;53.1
201;2014;52.5
201;2015;51.9
202;2000;64.5
202;2001;63.9
202;2002;65.1
202;2003;64.3
202;2004;64.7
202;2005;64.3
202;2006;63.5
202;2007;63.3
202;2008;63.3
202;2009;63.1
202;2010;63.2
202;2011;63.5
202;2012;62.1
202;2013;61.2
202;2014;61.1
202;2015;60.2
203;2000;50.7
203;2001;50.9
203;2002;52.8
203;2003;53.4
203;2004;53.1
203;2005;52.5
203;2006;53.5
203;2007;54.1
203;2008;53.9
203;2009;53.1
203;2010;53.1
203;2011;52.8
203;2012;52.5
203;2013;52.1
203;2014;52.0
203;2015;53.4
204;2000;54.9
204;2001;55.3
204;2002;54.5
204;2003;54.2
204;2004;54.6
204;2005;51.4
204;2006;50.7
204;2007;49.9
204;2008;50.2
204;2009;48.4
204;2010;49.9
204;2011;49.8
204;2012;50.9
204;2013;50.4
204;2014;50.1
204;2015;49.5
205;2000;55.8
205;2001;55.4
205;2002;55.2
205;2003;54.4
205;2004;53.7
205;2005;52.7
205;2006;52.3
205;2007;51.6
205;2008;51.3
205;2009;50.6
205;2010;51.6
205;2011;50.6
205;2012;50.0
205;2013;50.0
205;2014;50.4
205;2015;50.1
206;2000;55.2
206;2001;53.7
206;2002;53.7
206;2003;53.9
206;2004;53.6
206;2005;53.1
206;2006;53.6
206;2007;54.1
206;2008;54.3
206;2009;54.1
206;2010;53.7
206;2011;53.4
206;2012;53.8
206;2013;53.6
206;2014;53.9
206;2015;53.6
207;2000;53.6
207;2001;53.5
207;2002;53.7
207;2003;53.7
207;2004;54.1
207;2005;53.8
207;2006;54.0
207;2007;54.0
207;2008;53.8
207;2009;53.6
207;2010;53.9
207;2011;54.0
207;2012;54.3
207;2013;54.7
207;2014;54.9
207;2015;55.0
208;2000;57.5
208;2001;57.1
208;2002;57.5
208;2003;56.6
208;2004;57.0
208;2005;57.3
208;2006;56.9
208;2007;56.0
208;2008;56.0
208;2009;56.2
208;2010;56.2
208;2011;55.5
208;2012;54.5
208;2013;54.3
208;2014;55.8
208;2015;55.1
301;2000;59.4
301;2001;58.8
301;2002;58.1
301;2003;58.0
301;2004;58.4
301;2005;58.5
301;2006;58.3
301;2007;58.4
301;2008;57.7
301;2009;58.1
301;2010;57.9
301;2011;58.2
301;2012;59.3
301;2013;58.7
301;2014;58.2
301;2015;57.5
302;2000;70.9
302;2001;70.1
302;2002;64.3
302;2003;62.3
302;2004;61.7
302;2005;63.4
302;2006;65.4
302;2007;62.5
302;2008;64.4
302;2009;64.1
302;2010;64.0
302;2011;65.1
302;2012;64.2
302;2013;61.3
302;2014;61.1
302;2015;58.2
