wbe;jahr;anzahl_evangelischrefe
091;2014;804
091;2015;817
092;2000;548
092;2001;508
092;2002;491
092;2003;494
092;2004;500
092;2005;503
092;2006;477
092;2007;465
092;2008;437
092;2009;427
092;2010;430
092;2011;429
092;2012;403
092;2013;383
092;2014;373
092;2015;350
101;2000;1203
101;2001;1169
101;2002;1141
101;2003;1112
101;2004;1115
101;2005;1039
101;2006;1014
101;2007;994
101;2008;965
101;2009;914
101;2010;907
101;2011;884
101;2012;895
101;2013;846
101;2014;855
101;2015;809
102;2000;1059
102;2001;993
102;2002;958
102;2003;929
102;2004;887
102;2005;882
102;2006;821
102;2007;780
102;2008;769
102;2009;751
102;2010;719
102;2011;689
102;2012;672
102;2013;676
102;2014;658
102;2015;633
103;2000;1085
103;2001;1087
103;2002;1045
103;2003;995
103;2004;972
103;2005;919
103;2006;871
103;2007;824
103;2008;775
103;2009;719
103;2010;701
103;2011;668
103;2012;642
103;2013;623
103;2014;589
103;2015;575
111;2000;712
111;2001;701
111;2002;689
111;2003;672
111;2004;669
111;2005;648
111;2006;621
111;2007;592
111;2008;561
111;2009;539
111;2010;528
111;2011;507
111;2012;514
111;2013;505
111;2014;493
111;2015;481
112;2000;409
112;2001;411
112;2002;386
112;2003;364
112;2004;353
112;2005;374
112;2006;380
112;2007;385
112;2008;381
112;2009;361
112;2010;363
112;2011;354
112;2012;343
112;2013;337
112;2014;328
112;2015;315
113;2000;884
113;2001;891
113;2002;892
113;2003;826
113;2004;811
113;2005;792
113;2006;813
113;2007;803
113;2008;789
113;2009;750
113;2010;715
113;2011;700
113;2012;691
113;2013;707
113;2014;671
113;2015;617
114;2000;177
114;2001;163
114;2002;147
114;2003;128
114;2004;134
114;2005;127
114;2006;122
114;2007;109
114;2008;113
114;2009;139
114;2010;149
114;2011;152
114;2012;146
114;2013;149
114;2014;142
114;2015;147
115;2000;1007
115;2001;943
115;2002;881
115;2003;842
115;2004;820
115;2005;776
115;2006;747
115;2007;715
115;2008;694
115;2009;681
115;2010;633
115;2011;592
115;2012;580
115;2013;565
115;2014;564
115;2015;530
121;2000;312
121;2001;315
121;2002;301
121;2003;292
121;2004;274
121;2005;280
121;2006;274
121;2007;269
121;2008;274
121;2009;248
121;2010;238
121;2011;221
121;2012;226
121;2013;212
121;2014;209
121;2015;198
122;2000;154
122;2001;148
122;2002;149
122;2003;136
122;2004;137
122;2005;134
122;2006;130
122;2007;122
122;2008;124
122;2009;127
122;2010;116
122;2011;109
122;2012;118
122;2013;122
122;2014;111
122;2015;104
131;2000;160
131;2001;143
131;2002;124
131;2003;130
131;2004;133
131;2005;120
131;2006;120
131;2007;124
131;2008;117
131;2009;105
131;2010;107
131;2011;107
131;2012;99
131;2013;87
131;2014;83
131;2015;87
132;2000;442
132;2001;404
132;2002;389
132;2003;377
132;2004;380
132;2005;364
132;2006;377
132;2007;390
132;2008;367
132;2009;351
132;2010;331
132;2011;330
132;2012;320
132;2013;306
132;2014;273
132;2015;283
141;2000;718
141;2001;703
141;2002;722
141;2003;733
141;2004;721
141;2005;701
141;2006;667
141;2007;671
141;2008;676
141;2009;663
141;2010;644
141;2011;634
141;2012;633
141;2013;601
141;2014;610
141;2015;612
142;2000;567
142;2001;539
142;2002;522
142;2003;511
142;2004;506
142;2005;498
142;2006;494
142;2007;493
142;2008;473
142;2009;445
142;2010;418
142;2011;388
142;2012;351
142;2013;356
142;2014;353
142;2015;329
151;2000;653
151;2001;617
151;2002;605
151;2003;601
151;2004;569
151;2005;559
151;2006;528
151;2007;498
151;2008;474
151;2009;476
151;2010;458
151;2011;454
151;2012;421
151;2013;430
151;2014;404
151;2015;425
152;2000;893
152;2001;888
152;2002;855
152;2003;817
152;2004;801
152;2005;784
152;2006;746
152;2007;725
152;2008;710
152;2009;698
152;2010;667
152;2011;649
152;2012;606
152;2013;560
152;2014;554
152;2015;534
153;2000;1042
153;2001;1000
153;2002;959
153;2003;919
153;2004;896
153;2005;878
153;2006;827
153;2007;802
153;2008;823
153;2009;805
153;2010;775
153;2011;733
153;2012;687
153;2013;664
153;2014;650
153;2015;621
161;2000;540
161;2001;519
161;2002;511
161;2003;500
161;2004;495
161;2005;499
161;2006;492
161;2007;457
161;2008;448
161;2009;429
161;2010;387
161;2011;356
161;2012;388
161;2013;388
161;2014;379
161;2015;374
162;2000;20
162;2001;22
162;2002;24
162;2003;25
162;2004;13
162;2005;10
162;2006;11
162;2007;10
162;2008;11
162;2009;42
162;2010;47
162;2011;47
162;2012;38
162;2013;39
162;2014;31
162;2015;84
171;2000;301
171;2001;282
171;2002;286
171;2003;261
171;2004;264
171;2005;252
171;2006;240
171;2007;244
171;2008;218
171;2009;217
171;2010;200
171;2011;192
171;2012;197
171;2013;203
171;2014;189
171;2015;196
172;2000;532
172;2001;543
172;2002;508
172;2003;515
172;2004;541
172;2005;528
172;2006;494
172;2007;491
172;2008;490
172;2009;460
172;2010;406
172;2011;395
172;2012;378
172;2013;389
172;2014;355
172;2015;346
173;2000;354
173;2001;327
173;2002;330
173;2003;320
173;2004;319
173;2005;334
173;2006;318
173;2007;315
173;2008;329
173;2009;315
173;2010;306
173;2011;286
173;2012;278
173;2013;281
173;2014;256
173;2015;238
174;2000;813
174;2001;793
174;2002;738
174;2003;754
174;2004;734
174;2005;728
174;2006;707
174;2007;702
174;2008;713
174;2009;701
174;2010;671
174;2011;646
174;2012;657
174;2013;637
174;2014;618
174;2015;581
180;2000;991
180;2001;951
180;2002;918
180;2003;863
180;2004;838
180;2005;815
180;2006;804
180;2007;790
180;2008;777
180;2009;764
180;2010;743
180;2011;700
180;2012;677
180;2013;629
180;2014;616
180;2015;599
190;2000;419
190;2001;406
190;2002;385
190;2003;379
190;2004;360
190;2005;337
190;2006;332
190;2007;334
190;2008;304
190;2009;289
190;2010;272
190;2011;257
190;2012;264
190;2013;268
190;2014;243
190;2015;245
201;2000;1277
201;2001;1291
201;2002;1253
201;2003;1257
201;2004;1200
201;2005;1150
201;2006;1121
201;2007;1099
201;2008;1070
201;2009;1056
201;2010;1001
201;2011;955
201;2012;963
201;2013;930
201;2014;892
201;2015;883
202;2000;659
202;2001;643
202;2002;599
202;2003;600
202;2004;572
202;2005;582
202;2006;555
202;2007;538
202;2008;514
202;2009;483
202;2010;480
202;2011;464
202;2012;448
202;2013;411
202;2014;416
202;2015;382
203;2000;500
203;2001;475
203;2002;460
203;2003;457
203;2004;458
203;2005;438
203;2006;446
203;2007;419
203;2008;394
203;2009;363
203;2010;371
203;2011;348
203;2012;337
203;2013;334
203;2014;322
203;2015;305
204;2000;417
204;2001;408
204;2002;396
204;2003;372
204;2004;372
204;2005;353
204;2006;329
204;2007;329
204;2008;318
204;2009;317
204;2010;311
204;2011;310
204;2012;311
204;2013;305
204;2014;298
204;2015;294
205;2000;781
205;2001;766
205;2002;751
205;2003;740
205;2004;700
205;2005;706
205;2006;688
205;2007;650
205;2008;634
205;2009;618
205;2010;608
205;2011;588
205;2012;580
205;2013;583
205;2014;567
205;2015;533
206;2000;887
206;2001;862
206;2002;857
206;2003;806
206;2004;802
206;2005;800
206;2006;773
206;2007;760
206;2008;750
206;2009;722
206;2010;708
206;2011;693
206;2012;673
206;2013;663
206;2014;660
206;2015;633
207;2000;1969
207;2001;1968
207;2002;1912
207;2003;1867
207;2004;1780
207;2005;1725
207;2006;1675
207;2007;1674
207;2008;1644
207;2009;1545
207;2010;1494
207;2011;1435
207;2012;1414
207;2013;1386
207;2014;1342
207;2015;1305
208;2000;713
208;2001;714
208;2002;695
208;2003;678
208;2004;666
208;2005;650
208;2006;620
208;2007;589
208;2008;576
208;2009;533
208;2010;507
208;2011;501
208;2012;487
208;2013;475
208;2014;447
208;2015;443
301;2000;377
301;2001;343
301;2002;337
301;2003;315
301;2004;319
301;2005;309
301;2006;299
301;2007;282
301;2008;260
301;2009;261
301;2010;249
301;2011;248
301;2012;249
301;2013;253
301;2014;249
301;2015;235
302;2000;178
302;2001;159
302;2002;150
302;2003;159
302;2004;154
302;2005;166
302;2006;160
302;2007;142
302;2008;118
302;2009;114
302;2010;111
302;2011;107
302;2012;109
302;2013;101
302;2014;105
302;2015;99
