wbe;jahr;ant_geschieden
115;2010;7.4
115;2011;7.8
115;2012;7.9
115;2013;7.9
115;2014;8.1
115;2015;7.8
121;2000;11.7
121;2001;11.7
121;2002;12.0
121;2003;12.2
121;2004;12.2
121;2005;13.4
121;2006;12.8
121;2007;13.3
121;2008;12.5
121;2009;12.9
121;2010;12.5
121;2011;12.5
121;2012;12.2
121;2013;11.8
121;2014;12.1
121;2015;11.6
122;2000;14.0
122;2001;14.9
122;2002;15.4
122;2003;14.6
122;2004;13.7
122;2005;15.1
122;2006;15.4
122;2007;16.3
122;2008;16.6
122;2009;17.0
122;2010;16.3
122;2011;16.0
122;2012;16.1
122;2013;14.7
122;2014;14.2
122;2015;15.0
131;2000;9.3
131;2001;9.6
131;2002;9.9
131;2003;9.5
131;2004;10.4
131;2005;10.6
131;2006;11.4
131;2007;11.7
131;2008;11.0
131;2009;10.6
131;2010;11.9
131;2011;12.1
131;2012;11.7
131;2013;11.4
131;2014;11.3
131;2015;11.2
132;2000;9.3
132;2001;9.4
132;2002;9.8
132;2003;9.1
132;2004;9.5
132;2005;9.7
132;2006;10.5
132;2007;10.5
132;2008;10.7
132;2009;11.3
132;2010;10.7
132;2011;10.5
132;2012;11.3
132;2013;11.0
132;2014;11.5
132;2015;11.6
141;2000;8.2
141;2001;8.3
141;2002;8.4
141;2003;8.6
141;2004;8.4
141;2005;8.8
141;2006;9.1
141;2007;8.8
141;2008;8.9
141;2009;8.6
141;2010;8.8
141;2011;8.6
141;2012;8.8
141;2013;9.3
141;2014;9.1
141;2015;9.2
142;2000;7.7
142;2001;8.1
142;2002;7.7
142;2003;8.1
142;2004;7.7
142;2005;8.0
142;2006;8.5
142;2007;8.8
142;2008;8.9
142;2009;9.1
142;2010;9.3
142;2011;9.4
142;2012;9.7
142;2013;9.6
142;2014;9.5
142;2015;9.9
151;2000;7.6
151;2001;7.8
151;2002;7.8
151;2003;7.6
151;2004;8.2
151;2005;8.4
151;2006;8.2
151;2007;8.7
151;2008;8.9
151;2009;9.5
151;2010;9.9
151;2011;9.3
151;2012;8.9
151;2013;8.9
151;2014;8.3
151;2015;8.7
152;2000;5.5
152;2001;6.1
152;2002;6.8
152;2003;6.9
152;2004;7.5
152;2005;8.0
152;2006;8.3
152;2007;8.6
152;2008;8.6
152;2009;8.9
152;2010;9.4
152;2011;9.6
152;2012;9.7
152;2013;10.2
152;2014;10.1
152;2015;9.9
153;2000;6.3
153;2001;6.2
153;2002;6.6
153;2003;6.8
153;2004;7.3
153;2005;7.3
153;2006;7.5
153;2007;7.6
153;2008;7.7
153;2009;8.0
153;2010;8.6
153;2011;8.9
153;2012;9.2
153;2013;9.2
153;2014;9.5
153;2015;9.6
161;2000;7.2
161;2001;7.6
161;2002;6.9
161;2003;7.1
161;2004;7.1
161;2005;7.3
161;2006;7.4
161;2007;7.6
161;2008;7.7
161;2009;8.1
161;2010;8.7
161;2011;8.5
161;2012;8.7
161;2013;8.6
161;2014;8.5
161;2015;8.6
162;2000;12.4
162;2001;8.5
162;2002;6.6
162;2003;7.4
162;2004;6.7
162;2005;4.8
162;2006;6.8
162;2007;5.8
162;2008;4.7
162;2009;5.5
162;2010;5.5
162;2011;5.0
162;2012;4.8
162;2013;5.6
162;2014;5.1
162;2015;5.0
171;2000;9.6
171;2001;9.0
171;2002;9.3
171;2003;9.1
171;2004;8.9
171;2005;9.3
171;2006;9.6
171;2007;9.8
171;2008;9.6
171;2009;9.3
171;2010;8.2
171;2011;8.5
171;2012;9.1
171;2013;8.7
171;2014;9.1
171;2015;9.3
172;2000;7.5
172;2001;7.9
172;2002;8.1
172;2003;8.1
172;2004;8.6
172;2005;9.0
172;2006;9.0
172;2007;9.2
172;2008;9.2
172;2009;9.1
172;2010;9.5
172;2011;9.4
172;2012;9.7
172;2013;9.7
172;2014;9.4
172;2015;9.2
173;2000;8.4
173;2001;8.1
173;2002;8.5
173;2003;8.2
173;2004;8.4
173;2005;9.5
173;2006;9.5
173;2007;9.7
173;2008;9.6
173;2009;9.4
173;2010;9.5
173;2011;9.9
173;2012;9.7
173;2013;9.7
173;2014;10.2
173;2015;10.6
174;2000;8.0
174;2001;7.9
174;2002;7.7
174;2003;7.8
174;2004;7.7
174;2005;7.9
174;2006;8.1
174;2007;8.5
174;2008;8.6
174;2009;8.8
174;2010;9.1
174;2011;9.2
174;2012;9.1
174;2013;9.2
174;2014;9.4
174;2015;9.5
180;2000;7.4
180;2001;7.6
180;2002;7.5
180;2003;7.9
180;2004;8.2
180;2005;8.1
180;2006;8.4
180;2007;8.7
180;2008;8.5
180;2009;8.9
180;2010;9.2
180;2011;9.7
180;2012;9.6
180;2013;9.9
180;2014;9.8
180;2015;10.2
190;2003;8.5
190;2004;8.9
190;2000;8.2
190;2001;8.1
190;2002;8.0
190;2005;8.7
190;2006;9.3
190;2007;9.6
190;2008;9.5
190;2009;9.7
190;2010;10.1
190;2011;9.9
190;2012;9.7
190;2013;9.9
190;2014;9.7
190;2015;9.5
201;2000;5.6
201;2001;5.6
201;2002;6.2
201;2003;6.6
201;2004;6.7
201;2005;7.3
201;2006;7.6
201;2007;7.5
201;2008;7.6
201;2009;7.6
201;2010;7.9
201;2011;7.9
201;2012;7.9
201;2013;8.2
201;2014;8.7
201;2015;8.9
202;2000;7.4
202;2001;7.8
202;2002;8.1
202;2003;8.4
202;2004;8.6
202;2005;9.1
202;2006;9.3
202;2007;9.7
202;2008;9.9
202;2009;10.4
202;2010;11.2
202;2011;11.3
202;2012;11.1
202;2013;11.2
202;2014;11.3
202;2015;11.2
203;2000;5.4
203;2001;4.8
203;2002;4.6
203;2003;4.8
203;2004;4.9
203;2005;5.3
203;2006;5.8
203;2007;6.1
203;2008;6.4
203;2009;6.3
203;2010;6.4
203;2011;6.6
203;2012;6.4
203;2013;6.5
203;2014;6.1
203;2015;7.1
204;2000;3.0
204;2001;3.4
204;2002;2.7
204;2003;3.1
204;2004;3.1
204;2005;3.2
204;2006;3.2
204;2007;3.4
204;2008;3.7
204;2009;4.1
204;2010;5.0
204;2011;4.6
204;2012;4.7
204;2013;4.5
204;2014;5.0
204;2015;5.3
205;2000;4.2
205;2001;3.9
205;2002;4.1
205;2003;4.3
205;2004;4.5
205;2005;4.8
205;2006;4.9
205;2007;5.4
205;2008;6.0
205;2009;5.8
205;2010;5.8
205;2011;6.1
205;2012;6.2
205;2013;6.3
205;2014;6.3
205;2015;6.6
206;2000;5.4
206;2001;5.8
206;2002;6.0
206;2003;5.7
206;2004;6.0
206;2005;5.8
206;2006;6.1
206;2007;6.2
206;2008;5.8
206;2009;5.8
206;2010;5.9
206;2011;5.8
206;2012;6.0
206;2013;6.2
206;2014;6.0
206;2015;6.1
207;2000;5.8
207;2001;6.1
207;2002;6.1
207;2003;6.2
207;2004;6.3
207;2005;7.0
207;2007;7.8
207;2008;8.1
207;2009;8.1
207;2010;8.6
207;2011;8.9
207;2012;9.1
207;2013;8.9
207;2014;8.9
207;2015;9.2
207;2006;7.5
208;2000;5.4
208;2001;5.3
208;2002;5.7
208;2003;6.0
208;2004;5.9
208;2005;6.0
208;2006;6.2
208;2007;6.1
208;2008;7.1
208;2009;6.9
208;2010;6.8
208;2011;6.7
208;2012;6.8
208;2013;7.0
208;2014;6.7
208;2015;7.2
301;2000;5.3
301;2001;5.5
301;2002;5.1
301;2003;5.7
301;2004;5.6
301;2005;6.6
301;2006;6.7
301;2007;6.5
301;2008;6.7
301;2009;7.0
301;2010;6.8
301;2011;7.2
301;2012;7.0
301;2013;7.5
301;2014;7.9
301;2015;8.1
302;2004;0.8
302;2005;1.1
302;2007;1.2
302;2008;1.7
302;2009;1.2
302;2010;1.3
302;2012;2.2
302;2013;2.7
302;2014;3.8
302;2015;4.3
302;2000;0.8
302;2001;0.4
302;2002;2.0
302;2003;1.1
302;2006;0.8
302;2011;1.3
