wbe;jahr;anzahl_w
153;2008;332
153;2009;322
153;2010;319
153;2011;315
153;2012;311
153;2013;293
153;2014;300
153;2015;294
161;2000;267
161;2001;245
161;2002;235
161;2003;234
161;2004;222
161;2005;222
161;2006;226
161;2007;215
161;2008;198
161;2009;184
161;2010;179
161;2011;177
161;2012;175
161;2013;169
161;2014;162
161;2015;160
162;2000;1
162;2001;2
162;2002;2
162;2003;2
162;2004;2
162;2005;3
162;2006;3
162;2007;3
162;2008;3
162;2009;5
162;2010;3
162;2011;3
162;2012;5
162;2013;6
162;2014;6
162;2015;37
171;2000;73
171;2001;72
171;2002;67
171;2003;62
171;2004;61
171;2005;60
171;2006;64
171;2007;59
171;2008;62
171;2009;59
171;2010;53
171;2011;54
171;2012;48
171;2013;48
171;2014;46
171;2015;48
172;2000;205
172;2001;195
172;2002;182
172;2003;168
172;2004;169
172;2005;167
172;2006;156
172;2007;142
172;2008;138
172;2009;134
172;2010;131
172;2011;126
172;2012;121
172;2013;117
172;2014;122
172;2015;123
173;2000;97
173;2001;92
173;2002;85
173;2003;92
173;2004;92
173;2005;89
173;2006;88
173;2007;79
173;2008;80
173;2009;81
173;2010;79
173;2011;82
173;2012;80
173;2013;80
173;2014;72
173;2015;66
174;2000;307
174;2001;301
174;2002;283
174;2003;290
174;2004;295
174;2005;294
174;2006;292
174;2007;283
174;2008;295
174;2009;287
174;2010;300
174;2011;298
174;2012;293
174;2013;287
174;2014;279
174;2015;271
180;2000;437
180;2001;425
180;2002;415
180;2003;397
180;2004;369
180;2005;354
180;2006;346
180;2007;343
180;2008;337
180;2009;342
180;2010;336
180;2011;327
180;2012;319
180;2013;334
180;2014;326
180;2015;320
190;2003;185
190;2004;192
190;2000;195
190;2001;186
190;2002;196
190;2005;188
190;2006;191
190;2007;194
190;2008;182
190;2009;175
190;2010;164
190;2011;160
190;2012;160
190;2013;158
190;2014;158
190;2015;152
201;2000;294
201;2001;297
201;2002;295
201;2003;295
201;2004;304
201;2005;282
201;2006;270
201;2007;276
201;2008;301
201;2009;297
201;2010;301
201;2011;307
201;2012;307
201;2013;308
201;2014;303
201;2015;325
202;2000;119
202;2001;120
202;2002;113
202;2003;112
202;2004;119
202;2005;118
202;2006;118
202;2007;116
202;2008;115
202;2009;114
202;2010;111
202;2011;114
202;2012;114
202;2013;116
202;2014;118
202;2015;113
203;2000;169
203;2001;155
203;2002;127
203;2003;127
203;2004;130
203;2005;129
203;2006;134
203;2007;130
203;2008;124
203;2009;121
203;2010;123
203;2011;120
203;2012;118
203;2013;122
203;2014;123
203;2015;116
204;2000;80
204;2001;79
204;2002;79
204;2003;92
204;2004;92
204;2005;94
204;2006;93
204;2007;95
204;2008;94
204;2009;97
204;2010;100
204;2011;104
204;2012;97
204;2013;100
204;2014;100
204;2015;96
205;2000;136
205;2001;139
205;2002;143
205;2003;154
205;2004;154
205;2005;154
205;2006;152
205;2007;146
205;2008;148
205;2009;139
205;2010;143
205;2011;138
205;2012;131
205;2013;130
205;2014;133
205;2015;132
206;2000;181
206;2001;177
206;2002;183
206;2003;180
206;2004;185
206;2005;190
206;2006;190
206;2007;175
206;2008;173
206;2009;170
206;2010;171
206;2011;173
206;2012;163
206;2013;163
206;2014;156
206;2015;157
207;2000;524
207;2001;518
207;2002;510
207;2003;508
207;2004;498
207;2005;503
207;2007;497
207;2008;495
207;2009;472
207;2010;461
207;2011;463
207;2012;466
207;2013;466
207;2014;458
207;2015;451
207;2006;502
208;2000;137
208;2001;137
208;2002;138
208;2003;143
208;2004;142
208;2005;145
208;2006;146
208;2007;144
208;2008;146
208;2009;147
208;2010;151
208;2011;153
208;2012;148
208;2013;149
208;2014;144
208;2015;144
301;2000;58
301;2001;56
301;2002;57
301;2003;56
301;2004;59
301;2005;53
301;2006;55
301;2007;53
301;2008;55
301;2009;53
301;2010;55
301;2011;56
301;2012;52
301;2013;54
301;2014;55
301;2015;52
302;2004;13
302;2005;14
302;2007;16
302;2008;15
302;2009;15
302;2010;16
302;2012;13
302;2013;14
302;2014;14
302;2015;9
302;2000;4
302;2001;3
302;2002;12
302;2003;12
302;2006;14
302;2011;13
